Year,Month,Jurisdiction,Number_fires
1990,1.0,Alberta,1
1990,2.0,Alberta,5
1990,3.0,Alberta,8
1990,4.0,Alberta,26
1990,5.0,Alberta,114
1990,6.0,Alberta,214
1990,7.0,Alberta,446
1990,8.0,Alberta,381
1990,9.0,Alberta,117
1990,10.0,Alberta,34
1990,11.0,Alberta,16
1990,12.0,Alberta,4
1991,1.0,Alberta,9
1991,2.0,Alberta,4
1991,3.0,Alberta,8
1991,4.0,Alberta,111
1991,5.0,Alberta,201
1991,6.0,Alberta,114
1991,7.0,Alberta,125
1991,8.0,Alberta,239
1991,9.0,Alberta,54
1991,10.0,Alberta,66
1991,11.0,Alberta,6
1991,12.0,Alberta,7
1992,1.0,Alberta,14
1992,2.0,Alberta,11
1992,3.0,Alberta,61
1992,4.0,Alberta,110
1992,5.0,Alberta,91
1992,6.0,Alberta,147
1992,7.0,Alberta,226
1992,8.0,Alberta,339
1992,9.0,Alberta,14
1992,10.0,Alberta,29
1992,11.0,Alberta,15
1992,12.0,Alberta,4
1993,1.0,Alberta,8
1993,2.0,Alberta,12
1993,3.0,Alberta,29
1993,4.0,Alberta,52
1993,5.0,Alberta,242
1993,6.0,Alberta,342
1993,7.0,Alberta,112
1993,8.0,Alberta,35
1993,9.0,Alberta,17
1993,10.0,Alberta,19
1993,11.0,Alberta,7
1993,12.0,Alberta,1
1994,1.0,Alberta,4
1994,2.0,Alberta,0
1994,3.0,Alberta,12
1994,4.0,Alberta,64
1994,5.0,Alberta,132
1994,6.0,Alberta,231
1994,7.0,Alberta,223
1994,8.0,Alberta,118
1994,9.0,Alberta,83
1994,10.0,Alberta,25
1994,11.0,Alberta,30
1994,12.0,Alberta,9
1995,1.0,Alberta,10
1995,2.0,Alberta,6
1995,3.0,Alberta,29
1995,4.0,Alberta,57
1995,5.0,Alberta,215
1995,6.0,Alberta,272
1995,7.0,Alberta,97
1995,8.0,Alberta,26
1995,9.0,Alberta,58
1995,10.0,Alberta,33
1995,11.0,Alberta,5
1995,12.0,Alberta,0
1996,1.0,Alberta,1
1996,2.0,Alberta,0
1996,3.0,Alberta,1
1996,4.0,Alberta,26
1996,5.0,Alberta,56
1996,6.0,Alberta,124
1996,7.0,Alberta,89
1996,8.0,Alberta,76
1996,9.0,Alberta,14
1996,10.0,Alberta,7
1996,11.0,Alberta,2
1996,12.0,Alberta,2
1997,1.0,Alberta,1
1997,2.0,Alberta,0
1997,3.0,Alberta,4
1997,4.0,Alberta,24
1997,5.0,Alberta,120
1997,6.0,Alberta,34
1997,7.0,Alberta,148
1997,8.0,Alberta,79
1997,9.0,Alberta,17
1997,10.0,Alberta,3
1997,11.0,Alberta,1
1997,12.0,Alberta,32
1998,1.0,Alberta,0
1998,2.0,Alberta,0
1998,3.0,Alberta,2
1998,4.0,Alberta,152
1998,5.0,Alberta,412
1998,6.0,Alberta,273
1998,7.0,Alberta,196
1998,8.0,Alberta,540
1998,9.0,Alberta,84
1998,10.0,Alberta,60
1998,11.0,Alberta,10
1998,12.0,Alberta,9
1999,1.0,Alberta,4
1999,2.0,Alberta,0
1999,3.0,Alberta,6
1999,4.0,Alberta,133
1999,5.0,Alberta,121
1999,6.0,Alberta,213
1999,7.0,Alberta,280
1999,8.0,Alberta,427
1999,9.0,Alberta,46
1999,10.0,Alberta,84
1999,11.0,Alberta,29
1999,12.0,Alberta,28
2000,1.0,Alberta,9
2000,2.0,Alberta,8
2000,3.0,Alberta,30
2000,4.0,Alberta,139
2000,5.0,Alberta,112
