Year,Month,Jurisdiction,Number_fires
1990,1,Alberta,1
1990,1,British Columbia,0
1990,1,Manitoba,0
1990,1,New Brunswick,0
1990,1,Newfoundland and Labrador,0
1990,1,Northwest Territories,0
1990,1,Nova Scotia,0
1990,1,Ontario,0
1990,1,Prince Edward Island,0
1990,1,Quebec,0
1990,1,Saskatchewan,0
1990,1,Yukon,0
1990,2,Alberta,5
1990,2,British Columbia,3
1990,2,Manitoba,0
1990,2,New Brunswick,0
1990,2,Newfoundland and Labrador,0
1990,2,Northwest Territories,0
1990,2,Nova Scotia,0
1990,2,Ontario,0
1990,2,Prince Edward Island,0
1990,2,Quebec,0
1990,2,Saskatchewan,0
1990,2,Yukon,0
1990,3,Alberta,8
1990,3,British Columbia,35
1990,3,Manitoba,0
1990,3,New Brunswick,1
1990,3,Newfoundland and Labrador,2
1990,3,Northwest Territories,0
1990,3,Nova Scotia,34
1990,3,Ontario,62
1990,3,Prince Edward Island,0
1990,3,Quebec,1
1990,3,Saskatchewan,2
1990,3,Yukon,0
1990,4,Alberta,26
1990,4,British Columbia,147
1990,4,Manitoba,39
1990,4,New Brunswick,42
1990,4,Newfoundland and Labrador,5
1990,4,Northwest Territories,0
1990,4,Nova Scotia,89
1990,4,Ontario,185
1990,4,Prince Edward Island,7
1990,4,Quebec,59
1990,4,Saskatchewan,18
1990,4,Yukon,3
1990,5,Alberta,114
1990,5,British Columbia,235
1990,5,Manitoba,71
1990,5,New Brunswick,71
1990,5,Newfoundland and Labrador,19
1990,5,Northwest Territories,10
1990,5,Nova Scotia,134
1990,5,Ontario,242
1990,5,Prince Edward Island,13
1990,5,Quebec,214
1990,5,Saskatchewan,103
1990,5,Yukon,15
1990,6,Alberta,214
1990,6,British Columbia,95
1990,6,Manitoba,85
1990,6,New Brunswick,100
1990,6,Newfoundland and Labrador,36
1990,6,Northwest Territories,98
1990,6,Nova Scotia,58
1990,6,Ontario,111
1990,6,Prince Edward Island,8
1990,6,Quebec,139
1990,6,Saskatchewan,275
1990,6,Yukon,19
1990,7,Alberta,446
1990,7,British Columbia,775
1990,7,Manitoba,90
1990,7,New Brunswick,114
1990,7,Newfoundland and Labrador,29
1990,7,Northwest Territories,113
1990,7,Nova Scotia,74
