			Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year	Year
Jurisdiction	Cause	Data Qualifier	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Alberta	Human activity	a	2,394	2,461	2,002	1,490	2,485	7,887	655	4,383	74,977	6,198	8,658	139,800	248,041	39,243	6,649	12,715	23,935	1,766	10,673	22,239	2,271	142,950	7,553	2,101	1,204	38,618	1,134	6,834	1,892	3,026	2,949	1,512	1,062	
Alberta	Lightning	a	55,483	4,118	1,089	26,170	94,199	331,046	14,917	521	673,574	183,740	16,575	27,108	252,498	145,144	425,626	79,604	106,317	324,225	22,869	67,111	84,448	97,628	644,115	48,634	286,625	801,712	27,284	116,704	69,845	164,062	393	52,475		
Alberta	Natural cause	a																																	142,593	
Alberta	Prescribed burn	a													7			4	2		2,914	5,171	11	1,423	2	167	201	2,972	838	867	339	141	1,250	296	6,791	
Alberta	Reburn	a															41		33	1	8	6	139													
Alberta	Unspecified	a	1,009	135	471	32	43	3,047	24	20	225	57	19	78	8	19,958	9	45	6,024	2	71	31	83	650,231	414	4,830	19	570	485,908	25,364	12,941	836,602	206	11,858	7,101	
Alberta	Unspecified	e																																		1,951,299
British Columbia	Human activity	a	40,278	10,924	15,560	3,400	12,017	19,714	6,580	2,635	6,752	4,834	11,399	5,192	4,367	81,752	2,175	9,735	9,715	12,743	8,649	26,717	10,437	1,183	5,607	4,954	8,085	57,127	93,321	225,058	121,608	4,666	1,012	294,381	22,293	
British Columbia	Lightning	a	35,503	14,265	14,893	1,783	17,738	28,366	14,089	332	70,015	6,721	6,409	8,982	4,219	201,650	218,121	27,098	129,710	17,243	4,801	220,703	326,732	11,380	97,612	13,882	360,841	223,741	7,057	1,004,756	1,236,349	15,585	11,336	570,673		
British Columbia	Natural cause	a																																	112,840	
British Columbia	Prescribed burn	a																			1,813	100	12	585			1	90	69	45	15	38	123		391	
British Columbia	Unspecified	a																		1	37			5						1	2,964	1,256	2,201	1,314	102	
British Columbia	Unspecified	e																																		2,840,830
Manitoba	Human activity	a	5,719	20,668	90,958	5,117	471,730	7,367	2,883	3,649	4,838	53,388	1,616	499	1,535	3,203	1,062	6,189	8,113	5,513	73,198	2,230	22,397	26,229	21,027	896	1,172	6,779	6,701	1,368	78,904	7,940	34,268	243,012	3,809	
Manitoba	Lightning	a	10,426	130,318	342,816	62,157	957,056	881,871	122,444	38,150	445,734	57,066					18,074	69,102	159,437	331,368	77,474	642	165,099	100,615	195,861	1,114,519	37,936	61,353	31,707	223,056	155,521	63,324	15,035	883,671		
Manitoba	Natural cause	a																																	187,968	
Manitoba	Prescribed burn	a																			4,250	420	1,765	1,967		42	100	1,055	750		3	39		40	329	
Manitoba	Unspecified	a											111,699	80,522	95,405	938,176	8,384								620			6			50	33		16,038	1	
Manitoba	Unspecified	e																																		189,913
New Brunswick	Human activity	a	6,188	3,417	5,331	417	752	409	1,028	220	275	831	372	487	256	215	389	459	574	384	126	234	131	33	288	846	101	198	199	530	250	184	1,224	332	144	
New Brunswick	Lightning	a	7	57	32	323	3	46	908	17	4	546	71	25	33	4	5	10	9	25	7		11	2	1		1	46	22	20	17	14	51	30		
New Brunswick	Natural cause	a																																	2	
New Brunswick	Unspecified	a	23	85	36	38	98	115	81	27	133	76	50	264	37	20	68	33	42	183	10	20	15	2	72	34	11	19	44	18	44	30	115	18	30	
New Brunswick	Unspecified	e																																		854
Newfoundland and Labrador	Human activity	a	3,825	6,863	1,436	55	1,310	301	3,161	8,262	1,086	11,262	232	325	385	683	1,225	187	154	324	98	393	39	39	1,672	27,669		10		62	355	107	148	244		
Newfoundland and Labrador	Lightning	a	20,777	49,527	374	28,425	108,965	400	78,149	283	39,076	27,778	103,304	641	14,525	27,028	932	18,061	3,312	11,026	2	16,264	957		109	2,475		3,580	10,603	638	40	209	4,185	99		
Newfoundland and Labrador	Natural cause	a																																		
Newfoundland and Labrador	Prescribed burn	a																			29	15					4	82	134							
Newfoundland and Labrador	Unspecified	a																						387	27,502		8,832						1		23,890	
Newfoundland and Labrador	Unspecified	e																																		21,913
Northwest Territories	Human activity	a	12	47	269	84	10,127	111,784	85	10	80	32	21	5	18	9	7,638	9	69	22,183	20	23	153	151	597	1,188	10,616	4	7,819	11	170	5	371	9	59	
Northwest Territories	Lightning	a	104,605	225,401	34,073	856,784	2,999,302	2,715,575	371,460	126,521	1,458,875	549,844	177,796	116,756	27,068	127,812	501,430	216,865	61,312	422,924	308,546	10,314	350,649	329,462	301,323	553,871	3,410,696	722,103	247,705	1,033,066	22,007	105,163	20,768	197,480		
Northwest Territories	Natural cause	a																																	603,950	
Northwest Territories	Prescribed burn	a				7,400	17,882	15,997				11,158	18																							
Northwest Territories	Unspecified	a		18	2,607	18	3	11			5	1	1		4		8,288	1,258	16	22	223		125	71	2,615									63	23	
Northwest Territories	Unspecified	e																																		4,163,438
Nova Scotia	Human activity	a	1,029	1,712	1,111	363	237	370	602	502	307	1,788	301	471	191	1,236	288	472	1,562	510	2,638	858				295	537	512	775	573	196	134	678	192	3,357	
Nova Scotia	Lightning	a		18		3			2	24	12	16	2	8	10										3				18		2	1	18	5		
Nova Scotia	Natural cause	a																																	1	
Nova Scotia	Prescribed burn	a																				33	2			6		34	5		1					
Nova Scotia	Unspecified	a	39	46	48	2	5	34	35	39	78	19	185	50	11	21	2	23	484	181	62	25	436	150	362	6	28	5	10			2	1		25	
Nova Scotia	Unspecified	e																																		25,093
Ontario	Human activity	a	8,672	11,090	5,373	9,016	7,455	41,934	1,850	2,113	4,138	251,130	1,421	1,520	2,352	8,398	1,588	3,168	2,113	33,191	107	375	2,609	1,852	43,439	824	242	1,244	6,116	87	15,994	16,274	985	5,536	2,288	
Ontario	Lightning	a	174,916	307,672	170,596	95,609	76,020	570,413	443,461	36,224	127,542	76,925	5,293	9,256	178,042	309,985	120	39,139	145,303	6,747	1,194	20,308	10,109	632,087	107,923	50,216	5,144	38,064	76,922	112,233	249,676	253,446	14,471	779,024		
