;;;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year
Jurisdiction;Month;Data Qualifier;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Alberta;January;a;0;86;12;3;15;1;0;0;;18;5;0;20;216;2;1;5;5;24;1,389;0;0;1;0;11;1;0;1;0;2;0;0;1;
Alberta;February;a;3;1;54;39;;10;;;;;5;0;0;0;5;1;34;0;3;41;1;;0;7;;0;6;90;;0;0;0;13;
Alberta;March;a;7;118;248;577;32;289;1;25;1;4;1,124;51;0;6;77;9;2,707;123;1,781;879;479;0;165;2;1;13;642;15;2;14;0;6,53;51;
Alberta;April;a;25;1,158;1,254;301;868;579;93;117;1,362;1,287;4,92;1,177;367;5,48;4,785;1,338;3,596;843;302;236;657;14,876;125;144;435;2,235;2,709;1,38;117;628;77;1,035;418;
Alberta;May;a;636;3,678;420;6,476;3,46;330,669;522;356;349,906;38,01;2,484;143,749;240,25;29,841;1,25;11,5;5,655;215,359;1,943;2,1;5,125;794,77;122,256;7,215;505;263,45;498,402;27,072;42,831;896,887;515;3,127;1,349;
Alberta;June;a;1,779;89;706;19,789;44,107;6,65;14,164;63;37,77;93,023;7,551;6,102;258,62;1,994;99,888;75,302;97,838;23,384;4,552;61,691;38,531;80,068;232,801;22,154;101,868;553,037;11,353;6,439;13,093;26,566;363;2,418;111,655;
Alberta;July;a;39,003;131;281;159;36,771;1,258;780;399;9,664;52,577;6,765;4,928;1,098;159,615;319,14;4,08;22,558;86,213;12,391;217;41,524;115;282,108;25,094;122,779;22,319;1,726;47,234;10,749;79,691;30;51,964;6,664;
Alberta;August;a;14,891;1,106;495;285;9,749;2,11;22;60;349,697;1,708;2,291;314;108;5,137;6,837;28;3,686;9;1,489;62;189;1,631;13,337;1,092;61,989;1,85;180;30,841;17,545;3;55;835;21,011;
Alberta;September;a;2,316;174;6;7;1,66;370;12;7;64;2,15;77;10,591;7;319;323;9;57;15;133;1,558;57;664;1,27;12;394;880;113;34,987;43;31;2,576;33;14,295;
Alberta;October;a;182;138;80;49;27;42;2;0;311;517;30;73;2;1,733;19;43;173;11;129;3;336;100;20;13;67;79;1;1,701;232;9;1,176;110;2,088;
Alberta;November;a;43;1;5;8;23;1;0;0;1;506;0;2;82;1;0;55;0;32;138;991;50;8;0;2;1;7;22;0;8;0;4;44;2;
Alberta;December;a;0;36;0;0;15;;0;3,897;1;196;0;1;0;4;1;5;1;0;356;203;2;0;;0;0;1;12;9;398;0;2;44;2;
Alberta;Unspecified;a;;;;;;;;;;;;;;;;;;;13,292;25,188;;;;;;;;;;;;;;
Alberta;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,951,299
British Columbia;January;a;;0;7;21;3;7;1;;4;;;15;12;9;;0;67;0;0;373;12;0;1;15;0;;1;0;0;;;13;;
British Columbia;February;a;1;1,077;2;243;0;3;4;0;;4;1;1;1;14;1;41;6;0;19;1;4;0;0;;38;7;411;150;;1;;;0;
British Columbia;March;a;123;162;175;146;287;144;31;4;111;92;69;138;9;84;140;314;8;96;32;25;83;17;41;49;53;383;424;19;141;437;88;76;28;
British Columbia;April;a;435;2,603;1,207;187;653;613;223;130;1,168;1,153;822;544;892;536;826;636;1,908;508;787;1,709;1,186;179;582;2,683;654;867;91,172;153;278;550;583;2,016;338;
British Columbia;May;a;3,444;3,84;6,74;911;731;17,251;172;501;1,403;236;390;885;929;2,717;113;28,142;3,723;537;5,795;35,094;2,267;11,25;1,154;1,011;2,268;139,299;288;864;36,556;10,093;87;388;755;
British Columbia;June;a;80;3,412;5,844;1,108;943;28,239;12,767;449;655;1,605;11,708;822;3,735;2,644;178,23;484;37,095;9,628;1,735;3,67;41,695;90;2,785;4,536;37,004;91,355;1,199;4,136;11,543;468;29;360,222;16,906;
British Columbia;July;a;25,046;192;11,631;233;15,226;427;6,324;1,145;47,503;2,644;1,419;5,258;1,677;129,626;32,909;5,765;84,076;12,756;2,375;168,036;280,238;84;41,432;2,61;305,024;31,24;5,164;1,143,805;610,18;2,469;1,254;486,945;20,388;
British Columbia;August;a;11,674;10,126;4,351;632;11,038;85;1,078;340;22,734;3,853;3,015;6,092;648;146,324;7,625;1,028;2,358;5,579;1,743;37,238;10,998;267;55,87;3,576;23,46;17,77;1,741;76,938;701,903;7,358;12,444;16,466;84,351;
British Columbia;September;a;34,856;1,497;378;1,315;790;1,301;26;305;2,774;867;72;301;110;1,372;301;226;9,913;789;367;1,184;162;928;1,143;3,816;333;4;15;3,28;129;70;115;196;7,709;
British Columbia;October;a;123;2,278;117;371;85;9;43;2;401;1,019;302;102;386;15;146;1;270;79;487;171;498;236;210;538;94;32;29;513;200;5;71;45;5,116;
British Columbia;November;a;1;1;0;17;0;2;0;2;8;5;10;15;114;61;2;195;0;16;8;16;36;103;0;0;;0;1;1;0;93;0;2;34;
British Columbia;December;a;;;;;;;0;90;;79;0;;74;;2;;;0;0;0;1;;0;1;0;0;;;6;;0;0;0;
British Columbia;Unspecified;a;;;;;;;;;7;;;;;;;;;;1,953;3;;;;;;;;;0;;;;;
British Columbia;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,840,830
Manitoba;January;a;;41;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
Manitoba;February;a;;1;566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manitoba;March;a;;808;0;650;25;;;;;;1,535;;;;;;;;;;;;2,094;;;7;;;;;;238;;
Manitoba;April;a;2,775;22,329;192;1,313;2,696;936;0;101;4,262;18,202;10;0;1,2;3,2;784;3,456;1,839;4,082;2,2;0;4,275;23;3,612;4;236;2,76;1,522;14;5,56;2,846;1,499;6,57;;
Manitoba;May;a;338;61,854;3,461;906;4,105;37,708;2,587;943;246;34,931;11;497;335;;276;133;317;1,073;70,976;1,871;423;174;12,302;9,606;897;2,251;17,915;769;66,75;4,667;41,051;247,999;355;
Manitoba;June;a;401;582;267,155;62,062;890,225;789,658;40,54;7,365;174,509;24,763;;;;;22;3,192;149,289;1,929;27,867;693;3,923;209;9,403;807,139;1,281;51,301;10,348;15,289;31,403;39,959;683;318,111;7,673;
Manitoba;July;a;5,377;41,441;150,467;2,34;352,706;57,394;51,528;18,738;111,673;7,27;;;;;25,105;67,983;2,078;329,559;10,181;110;24,216;48,765;179,475;246,307;19,096;9,83;8,97;54,523;122,111;23,715;5,539;470,719;183,974;
Manitoba;August;a;4,754;23,713;11,849;3;158,772;429;16,851;14,638;42,853;25,228;;;;3;312;453;11,058;75;39,407;19;32,701;32,83;2,983;52,237;17,256;1,443;399;150,69;8,614;118;529;78,755;62;
Manitoba;September;a;52;157;75;1;19,492;123;13,811;11;171;59;;0;;;;0;149;154;1;132;122,237;2,021;1,254;162;442;0;4;2,675;39;33;0;11,571;39;
Manitoba;October;a;2,123;61;9;0;765;2,99;7;3;0;2;60;2;;;;75;130;10;41;46;10;10,764;6,387;;0;1,6;;463;;;1;8,779;5;
Manitoba;November;a;325;;;;0;;;;3;;;;;;;;2,69;;;40;1,475;34,026;;0;;;;;;;;20;;
Manitoba;December;a;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manitoba;Unspecified;a;;;;;;;2;0;116,855;;111,699;80,522;95,405;938,176;1,022;;;;4,25;380;;;;;;;;;;;;;;
Manitoba;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;189,913
New Brunswick;March;a;;;;;;;1;;;;1;;;;;;38;4;;;7;;37;0;;;;;;;;10;0;
New Brunswick;April;a;53;218;146;130;97;59;144;71;209;77;53;109;32;51;132;352;362;115;15;93;71;18;234;217;23;5;181;19;31;22;112;166;32;
New Brunswick;May;a;88;216;5,16;294;170;149;90;70;164;351;94;363;191;137;233;38;201;392;65;134;30;11;53;511;65;197;29;4;131;122;982;30;90;
New Brunswick;June;a;6,012;2,994;59;8;24;131;1,519;35;3;927;156;22;19;30;85;23;8;31;11;5;2;6;14;11;10;2;24;3;37;19;55;102;2;
New Brunswick;July;a;26;57;10;324;9;19;4;38;16;51;14;23;24;7;6;57;10;5;38;1;2;2;9;124;4;51;2;59;102;18;7;1;8;
New Brunswick;August;a;11;42;9;15;91;107;199;15;19;13;13;195;48;8;3;27;3;10;1;12;38;0;9;4;4;2;25;26;2;40;146;70;12;
New Brunswick;September;a;29;20;10;5;9;99;50;3;1;29;12;19;2;5;2;5;1;2;12;4;1;;3;;3;6;4;28;7;2;49;2;2;
New Brunswick;October;a;0;12;5;1;422;5;9;33;1;1;149;43;4;1;1;1;1;33;0;1;3;;1;13;3;0;1;429;1;5;8;1;7;
New Brunswick;November;a;;;;;32;0;1;0;0;3;;2;6;;1;0;;1;;5;4;;1;;;;;1;;;32;;23;
New Brunswick;December;a;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;0;
New Brunswick;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;854
Newfoundland and Labrador;January;a;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;
Newfoundland and Labrador;March;a;2;;;;;;;;;2;;;;;;;;;;0;1;;2;;;;;;;5;;0;;
Newfoundland and Labrador;April;a;17;2;3;5;4;9;15;;;20;9;;18;1;;17;28;2;3;77;15;1;16;5;;;;;7;0;10;3;5;
Newfoundland and Labrador;May;a;2,861;221;72;15;51;113;45;61;918;2,88;29;73;20;68;1,198;87;89;70;77;161;1;31;883;28;;1;0;18;71;76;31;178;93;
Newfoundland and Labrador;June;a;356;6,926;1,276;20,554;1,068;48;6,342;8,19;33,105;35,731;14;8;192;397;19;73;34;21;0;12;3;0;485;1;;3,33;;623;12;1;12;94;574;
Newfoundland and Labrador;July;a;20,396;99;386;7;109,046;33;43;30;6,117;399;3;107;190;;10;7;4;0;4;68;3;;2,36;19;;;10,603;39;286;218;3,156;33;22,833;
Newfoundland and Labrador;August;a;967;49,143;65;7,897;106;498;74,823;263;20;2;176;136;12;2;6;3;0;;;;14;387;6;0;;341;134;3;7;13;1,119;28;384;
Newfoundland and Labrador;September;a;5;;10;1;;0;43;0;;6;1;13;1;216;0;1;1;0;14;3;0;5;29;;4;;;2;11;3;5;5;0;
Newfoundland and Labrador;October;a;;;;2;;;0;;;0;1;2;0;1;;;;;2;;;;;23;;;;15;1;0;;;1;
Newfoundland and Labrador;November;a;;;;;;;;;;;;;;0;;;;;;;2;;;;;;;0;;;0;1;0;
Newfoundland and Labrador;December;a;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;;;
Newfoundland and Labrador;Unspecified;a;;;;;;;;;;;103,304;625;14,476;27,027;924;18,061;3,309;11,258;29;16,351;957;1;25,503;30,068;8,832;;;;;;;;;
Newfoundland and Labrador;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,913
Northwest Territories;January;a;;;;;0;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
Northwest Territories;February;a;;;;;0;;;;;;;;;;;;;;;1,5;;;;;;;;;;;;;;
Northwest Territories;April;a;;;;;1;200;2;;;3,358;;;;;;;;;;20;;;;;1;;;;;1;;;;
Northwest Territories;May;a;55;8;33;7,421;27,941;69,032;2,014;0;14,036;7,802;4;;0;8;3;2,99;0;89,542;5;402;7;25;23,834;1,035;74,298;277,363;8;2,759;6,198;3,484;0;0;1;
Northwest Territories;June;a;3,838;14,136;9,548;98,078;1,057,680;2,491,438;281,702;5,539;306,511;412,387;61,75;36,086;6,485;8,382;42,926;5,7;4,71;181,029;102,178;484;172,406;239,016;120,15;449,003;2,183,180;394,77;108,583;106,137;3,232;6,054;19,696;36,671;316,273;
Northwest Territories;July;a;100,678;133,586;21,961;758,72;1,732,459;28,777;86,437;120,774;1,077,846;109,824;99,865;66,828;19,232;117,71;450,659;209,403;47,653;172,368;177,236;1,546;177,33;87,13;138,525;73,233;1,029,658;26,182;142,765;823,763;8,168;94,783;1,227;153,543;202,716;
Northwest Territories;August;a;46;77,736;5,201;66;203,214;253,904;1,391;205;60,567;18,643;16,218;13,847;1,373;1,572;15,479;37;8,914;2,191;29,37;24;1,114;3,49;21,305;31,788;134,177;20,445;4,168;98,922;4,557;845;216;7,275;82,108;
Northwest Territories;September;a;1;1;206;2;6,013;15;;13;1;9,021;;1;;150;8,282;2;121;;;0;70;24;722;1;;;;1,496;21;;;;2,918;
Northwest Territories;October;a;;;;;7;0;;;;;;;;;7;0;0;;;;;;;;;;;;;0;;;15;
Northwest Territories;November;a;;;;;0;0;;;;;;;;;1;;;;;;;;;;;3,347;;;0;0;;;1;
Northwest Territories;December;a;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
Northwest Territories;Unspecified;a;;;;;;;;;;;;;;;;;;;;6,359;;;;;;;;;;;;63;;
Northwest Territories;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,163,438
Nova Scotia;January;a;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;
Nova Scotia;March;a;104;134;;;0;62;324;2;22;77;3;0;4;0;;12;1,562;60;7;;253;18;82;2;0;;2;;23;25;5;3;;
Nova Scotia;April;a;65;285;93;177;72;81;155;56;155;1,366;7;71;40;190;27;433;414;319;279;857;137;124;227;145;136;0;269;572;99;18;89;49;31;
