;;;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year
Jurisdiction;Month;Data Qualifier;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Alberta;January;a;1;9;14;8;4;10;1;1;;4;9;4;10;14;3;4;22;6;12;8;7;2;14;1;9;2;7;4;4;17;1;8;1;
Alberta;February;a;5;4;11;12;;6;;;;;8;2;4;4;3;8;19;3;4;11;6;;3;3;;4;12;4;;1;1;1;6;
Alberta;March;a;8;8;61;29;12;29;1;4;2;6;30;28;3;1;9;4;50;9;20;5;48;1;32;9;11;32;62;14;19;34;4;34;21;
Alberta;April;a;26;111;110;52;64;57;26;24;152;133;139;79;35;34;230;205;355;129;103;127;338;140;123;37;81;277;287;101;97;188;68;153;132;
Alberta;May;a;114;201;91;242;132;215;56;120;412;121;112;292;264;267;300;443;399;238;438;493;381;405;456;529;360;505;250;348;454;315;209;282;226;
Alberta;June;a;214;114;147;342;231;272;124;34;273;213;261;184;588;215;283;283;354;264;342;454;349;115;124;132;282;504;402;176;337;180;83;189;153;
Alberta;July;a;446;125;226;112;223;97;89;148;196;280;197;201;358;328;658;250;546;410;414;170;506;174;410;211;330;318;221;285;166;219;78;396;272;
Alberta;August;a;381;239;339;35;118;26;76;79;540;427;74;91;122;257;122;89;154;163;221;179;174;160;272;180;263;162;128;264;178;78;208;175;284;
Alberta;September;a;117;54;14;17;83;58;14;17;84;46;12;55;60;59;43;65;141;66;75;174;49;135;170;135;114;55;85;77;62;30;82;94;120;
Alberta;October;a;34;66;29;19;25;33;7;3;60;84;16;56;22;57;27;35;56;59;87;45;62;44;40;26;39;62;14;49;53;17;49;66;135;
Alberta;November;a;16;6;15;7;30;5;2;1;10;29;5;22;21;14;3;30;6;26;23;17;26;29;2;15;15;23;13;5;9;1;9;22;18;
Alberta;December;a;4;7;4;1;9;;2;32;9;28;1;10;6;7;2;9;5;5;4;10;3;3;;1;2;8;4;3;3;1;8;6;4;
Alberta;Unspecified;a;;;;;;;;;;;;;;;;;;;52;22;;;;;;;;;;;;;;
Alberta;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1149
British Columbia;January;a;;2;6;3;6;5;5;;3;;;6;3;5;;2;3;2;1;8;2;2;2;1;1;;3;1;1;;;2;;
British Columbia;February;a;3;5;2;16;2;5;3;2;3;2;3;1;3;3;2;9;3;2;2;7;2;2;2;;4;2;7;2;;1;;;2;
British Columbia;March;a;35;25;70;34;66;61;31;6;24;8;17;30;5;19;43;15;9;17;13;19;30;9;6;21;10;31;27;10;14;27;19;21;14;
British Columbia;April;a;147;204;155;77;142;181;60;86;148;92;157;130;140;99;178;116;176;76;117;165;135;48;74;85;107;82;158;40;51;87;92;145;81;
