Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollMean_6,RollMean_12,RollStd_3,RollStd_6,RollStd_12,RollSum_3,RollSum_6,RollSum_12,Month_sin,Month_cos,Jurisdiction_raw,REG_Alberta,REG_British Columbia,REG_Manitoba,REG_New Brunswick,REG_Newfoundland and Labrador,REG_Northwest Territories,REG_Nova Scotia,REG_Ontario,REG_Prince Edward Island,REG_Quebec,REG_Saskatchewan,REG_Yukon
1,1990,1,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
2,1990,5,1,,,,,,,,,,,,0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
3,1990,8,5,1,,,,,,,,,,,1.0,6.123233995736766e-17,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
4,1990,26,8,5,1,4.666666666666667,,,3.511884584284246,,,14.0,,,0.8660254037844387,-0.4999999999999998,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
5,1990,114,26,8,5,13.0,,,11.357816691600547,,,39.0,,,0.49999999999999994,-0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
6,1990,214,114,26,8,49.333333333333336,,,56.7215420570821,,,148.0,,,1.2246467991473532e-16,-1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
7,1990,446,214,114,26,118.0,61.333333333333336,,94.06380813043877,86.00852670908081,,354.0,368.0,,-0.4999999999999997,-0.8660254037844388,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
8,1990,381,446,214,114,258.0,135.5,,170.31735084835015,172.22746586999415,,774.0,813.0,,-0.8660254037844385,-0.5000000000000004,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
9,1990,117,381,446,214,347.0,198.16666666666666,,119.67873662434776,183.29693578089805,,1041.0,1189.0,,-1.0,-1.8369701987210297e-16,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
10,1990,34,117,381,446,314.6666666666667,216.33333333333334,,174.24216864276377,165.18676298864466,,944.0,1298.0,,-0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
11,1990,16,34,117,381,177.33333333333334,217.66666666666666,,181.19694625830024,163.36543902143646,,532.0,1306.0,,-0.5000000000000004,0.8660254037844384,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
12,1990,4,16,34,117,55.666666666666664,201.33333333333334,,53.87330817142528,179.86847046290984,,167.0,1208.0,,-2.4492935982947064e-16,1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
1,1991,9,4,16,34,18.0,166.33333333333334,113.83333333333333,15.099668870542441,196.56720648843407,154.70078646643438,54.0,998.0,1366.0,0.49999999999999994,0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
2,1991,4,9,4,16,9.666666666666666,93.5,114.5,6.027713773344132,146.90507138965626,154.18672269214835,29.0,561.0,1374.0,0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
3,1991,8,4,9,4,5.666666666666667,30.666666666666668,114.41666666666667,2.8867513459532548,43.75233327111442,154.25154092840654,17.0,184.0,1373.0,1.0,6.123233995736766e-17,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
4,1991,111,8,4,9,7.0,12.5,114.41666666666667,2.6457513110701596,11.41490254010077,154.25154092840654,21.0,75.0,1373.0,0.8660254037844387,-0.4999999999999998,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
5,1991,201,111,8,4,41.0,25.333333333333332,121.5,60.65476073648322,42.197946237544144,151.7536879887333,123.0,152.0,1458.0,0.49999999999999994,-0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
6,1991,114,201,111,8,106.66666666666667,56.166666666666664,128.75,96.57294307068287,82.42673514501631,153.43172896941965,320.0,337.0,1545.0,1.2246467991473532e-16,-1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
7,1991,125,114,201,111,142.0,74.5,120.41666666666667,51.117511676528416,80.71864716408471,151.07822075957466,426.0,447.0,1445.0,-0.4999999999999997,-0.8660254037844388,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
8,1991,239,125,114,201,146.66666666666666,93.83333333333333,93.66666666666667,47.37439533475179,75.62384985351294,111.39637119382081,440.0,563.0,1124.0,-0.8660254037844385,-0.5000000000000004,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
9,1991,54,239,125,114,159.33333333333334,133.0,81.83333333333333,69.21223398600388,80.49099328496327,81.67656093433786,478.0,798.0,982.0,-1.0,-1.8369701987210297e-16,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
10,1991,66,54,239,125,139.33333333333334,140.66666666666666,76.58333333333333,93.32916657365668,67.31616942954098,81.23418260955435,418.0,844.0,919.0,-0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
11,1991,6,66,54,239,119.66666666666667,133.16666666666666,79.25,103.51972436851518,73.50487512176772,80.2282255931052,359.0,799.0,951.0,-0.5000000000000004,0.8660254037844384,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
12,1991,7,6,66,54,42.0,100.66666666666667,78.41666666666667,31.74901573277557,80.30857156410309,80.9932189454865,126.0,604.0,941.0,-2.4492935982947064e-16,1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
1,1992,14,7,6,66,26.333333333333332,82.83333333333333,78.66666666666667,34.35597958628695,88.24379109414252,80.74689223778587,79.0,497.0,944.0,0.49999999999999994,0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
2,1992,11,14,7,6,9.0,64.33333333333333,79.08333333333333,4.358898943544534,89.26514810757145,80.36672573932948,27.0,386.0,949.0,0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
3,1992,61,11,14,7,10.666666666666666,26.333333333333332,79.66666666666667,3.5118845842890156,26.507860469428017,79.79557214114911,32.0,158.0,956.0,1.0,6.123233995736766e-17,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
4,1992,110,61,11,14,28.666666666666668,27.5,84.08333333333333,28.041635710731377,28.076680715497655,76.88179632436149,86.0,165.0,1009.0,0.8660254037844387,-0.4999999999999998,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
5,1992,91,110,61,11,60.666666666666664,34.833333333333336,84.0,49.50084174368515,42.29144909632046,76.85050422736339,182.0,209.0,1008.0,0.49999999999999994,-0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
6,1992,147,91,110,61,87.33333333333333,49.0,74.83333333333333,24.704925284917568,44.85978154204497,67.63381797099238,262.0,294.0,898.0,1.2246467991473532e-16,-1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
7,1992,226,147,91,110,116.0,72.33333333333333,77.58333333333333,28.478061731796682,54.10237209833471,70.00059523556448,348.0,434.0,931.0,-0.4999999999999997,-0.8660254037844388,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
8,1992,339,226,147,91,154.66666666666666,107.66666666666667,86.0,67.82575715267284,73.9666591557755,81.36896884506457,464.0,646.0,1032.0,-0.8660254037844385,-0.5000000000000004,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
9,1992,14,339,226,147,237.33333333333334,162.33333333333334,94.33333333333333,96.50043177796326,103.5329255196948,101.17341847570738,712.0,974.0,1132.0,-1.0,-1.8369701987210297e-16,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
10,1992,29,14,339,226,193.0,154.5,91.0,164.99393928262944,113.98377077461511,103.26048262877369,579.0,927.0,1092.0,-0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
11,1992,15,29,14,339,127.33333333333333,141.0,87.91666666666667,183.46207600845838,124.60979094758166,104.61831782361263,382.0,846.0,1055.0,-0.5000000000000004,0.8660254037844384,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
12,1992,4,15,29,14,19.333333333333332,128.33333333333334,88.66666666666667,8.386497083608711,134.20233480333593,104.00815818817756,58.0,770.0,1064.0,-2.4492935982947064e-16,1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0
