Jurisdiction,Month,Year,Number_fires
Alberta,January,1990,1.0
Alberta,February,1990,5.0
Alberta,March,1990,8.0
Alberta,April,1990,26.0
Alberta,May,1990,114.0
Alberta,June,1990,214.0
Alberta,July,1990,446.0
Alberta,August,1990,381.0
Alberta,September,1990,117.0
Alberta,October,1990,34.0
Alberta,November,1990,16.0
Alberta,December,1990,4.0
British Columbia,January,1990,
British Columbia,February,1990,3.0
British Columbia,March,1990,35.0
British Columbia,April,1990,147.0
British Columbia,May,1990,235.0
British Columbia,June,1990,95.0
British Columbia,July,1990,775.0
British Columbia,August,1990,1563.0
British Columbia,September,1990,336.0
British Columbia,October,1990,60.0
British Columbia,November,1990,6.0
British Columbia,December,1990,
Manitoba,January,1990,
Manitoba,February,1990,
Manitoba,March,1990,
Manitoba,April,1990,39.0
Manitoba,May,1990,71.0
Manitoba,June,1990,85.0
Manitoba,July,1990,90.0
Manitoba,August,1990,176.0
Manitoba,September,1990,51.0
Manitoba,October,1990,36.0
Manitoba,November,1990,13.0
Manitoba,December,1990,1.0
New Brunswick,March,1990,1.0
New Brunswick,April,1990,42.0
New Brunswick,May,1990,71.0
New Brunswick,June,1990,100.0
New Brunswick,July,1990,114.0
New Brunswick,August,1990,32.0
New Brunswick,September,1990,13.0
New Brunswick,October,1990,4.0
New Brunswick,November,1990,
New Brunswick,December,1990,
Newfoundland and Labrador,January,1990,
Newfoundland and Labrador,March,1990,2.0
Newfoundland and Labrador,April,1990,5.0
Newfoundland and Labrador,May,1990,19.0
Newfoundland and Labrador,June,1990,36.0
Newfoundland and Labrador,July,1990,29.0
Newfoundland and Labrador,August,1990,30.0
Newfoundland and Labrador,September,1990,41.0
Newfoundland and Labrador,October,1990,3.0
Newfoundland and Labrador,November,1990,
Newfoundland and Labrador,December,1990,
Northwest Territories,January,1990,
Northwest Territories,February,1990,
Northwest Territories,April,1990,
Northwest Territories,May,1990,10.0
Northwest Territories,June,1990,98.0
Northwest Territories,July,1990,113.0
Northwest Territories,August,1990,13.0
Northwest Territories,September,1990,2.0
Northwest Territories,October,1990,
Northwest Territories,November,1990,
Northwest Territories,December,1990,
Nova Scotia,January,1990,
Nova Scotia,March,1990,34.0
Nova Scotia,April,1990,89.0
Nova Scotia,May,1990,134.0
Nova Scotia,June,1990,58.0
Nova Scotia,July,1990,74.0
Nova Scotia,August,1990,62.0
Nova Scotia,September,1990,36.0
Nova Scotia,October,1990,9.0
Nova Scotia,November,1990,1.0
Ontario,January,1990,
Ontario,February,1990,
Ontario,March,1990,62.0
Ontario,April,1990,185.0
Ontario,May,1990,242.0
Ontario,June,1990,111.0
Ontario,July,1990,237.0
Ontario,August,1990,543.0
Ontario,September,1990,185.0
Ontario,October,1990,31.0
Ontario,November,1990,16.0
Ontario,December,1990,
Prince Edward Island,January,1990,0.0
Prince Edward Island,February,1990,0.0
Prince Edward Island,March,1990,0.0
Prince Edward Island,April,1990,7.0
Prince Edward Island,May,1990,13.0
Prince Edward Island,June,1990,8.0
Prince Edward Island,July,1990,6.0
Prince Edward Island,August,1990,1.0
Prince Edward Island,September,1990,1.0
Prince Edward Island,October,1990,0.0
Prince Edward Island,November,1990,2.0
Prince Edward Island,December,1990,0.0
Quebec,February,1990,
Quebec,March,1990,1.0
Quebec,April,1990,59.0
Quebec,May,1990,214.0
Quebec,June,1990,139.0
Quebec,July,1990,178.0
Quebec,August,1990,138.0
Quebec,September,1990,118.0
Quebec,October,1990,4.0
Quebec,November,1990,
Quebec,December,1990,
Saskatchewan,January,1990,
Saskatchewan,February,1990,
Saskatchewan,March,1990,2.0
Saskatchewan,April,1990,18.0
Saskatchewan,May,1990,103.0
Saskatchewan,June,1990,275.0
Saskatchewan,July,1990,130.0
Saskatchewan,August,1990,314.0
Saskatchewan,September,1990,45.0
Saskatchewan,October,1990,10.0
Saskatchewan,November,1990,
Saskatchewan,December,1990,
Yukon,January,1990,
Yukon,March,1990,
Yukon,April,1990,3.0
Yukon,May,1990,15.0
Yukon,June,1990,19.0
Yukon,July,1990,69.0
Yukon,August,1990,32.0
Yukon,September,1990,14.0
Yukon,October,1990,2.0
Yukon,November,1990,
Yukon,December,1990,
Alberta,January,1991,9.0
Alberta,February,1991,4.0
Alberta,March,1991,8.0
Alberta,April,1991,111.0
Alberta,May,1991,201.0
Alberta,June,1991,114.0
Alberta,July,1991,125.0
Alberta,August,1991,239.0
Alberta,September,1991,54.0
Alberta,October,1991,66.0
Alberta,November,1991,6.0
Alberta,December,1991,7.0
