Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollMean_6,RollMean_12,RollStd_3,RollStd_6,RollStd_12,RollSum_3,RollSum_6,RollSum_12,Month_sin,Month_cos,Jurisdiction_raw,REG_Alberta,REG_British Columbia,REG_Manitoba,REG_New Brunswick,REG_Newfoundland and Labrador,REG_Northwest Territories,REG_Nova Scotia,REG_Ontario,REG_Prince Edward Island,REG_Quebec,REG_Saskatchewan,REG_Yukon,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),et0_fao_evapotranspiration (mm),temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,et0_fao_evapotranspiration (mm)_lag1
1,1990,1,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-11.56989247311828,-6.860215053763441,76.34408602150538,64.79569892473118,0.2891397849462365,,,
2,1990,5,1,,,,,,,,,,,,0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-13.560714285714283,-6.180952380952381,71.39285714285714,52.85714285714285,0.5329761904761905,-11.56989247311828,76.34408602150538,0.2891397849462365
3,1990,8,5,1,,,,,,,,,,,1.0,6.123233995736766e-17,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-2.1763440860215053,5.023655913978495,67.83870967741936,42.82795698924731,1.4066666666666667,-13.560714285714283,71.39285714285714,0.5329761904761905
4,1990,26,8,5,1,4.666666666666667,,,3.511884584284246,,,14.0,,,0.8660254037844387,-0.4999999999999998,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,2.7533333333333334,9.282222222222224,64.88888888888889,40.12222222222223,2.2212222222222224,-2.1763440860215053,67.83870967741936,1.4066666666666667
5,1990,114,26,8,5,13.0,,,11.357816691600547,,,39.0,,,0.49999999999999994,-0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,9.98279569892473,16.177419354838708,65.13978494623656,39.204301075268816,3.4306451612903226,2.7533333333333334,64.88888888888889,2.2212222222222224
6,1990,214,114,26,8,49.333333333333336,,,56.7215420570821,,,148.0,,,1.2246467991473532e-16,-1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,14.965555555555556,20.538888888888888,67.8,42.34444444444444,3.8896666666666655,9.98279569892473,65.13978494623656,3.4306451612903226
7,1990,446,214,114,26,118.0,61.333333333333336,,94.06380813043877,86.00852670908081,,354.0,368.0,,-0.4999999999999997,-0.8660254037844388,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,17.40967741935484,22.996774193548383,69.2258064516129,43.60215053763441,4.09,14.965555555555556,67.8,3.8896666666666655
8,1990,381,446,214,114,258.0,135.5,,170.31735084835015,172.22746586999415,,774.0,813.0,,-0.8660254037844385,-0.5000000000000004,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,17.098924731182798,23.031182795698925,67.20430107526882,42.94623655913978,3.51,17.40967741935484,69.2258064516129,4.09
9,1990,117,381,446,214,347.0,198.16666666666666,,119.67873662434776,183.29693578089805,,1041.0,1189.0,,-1.0,-1.8369701987210297e-16,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,12.963333333333331,19.342222222222222,64.66666666666667,40.2,2.7728888888888887,17.098924731182798,67.20430107526882,3.51
10,1990,34,117,381,446,314.6666666666667,216.33333333333334,,174.24216864276377,165.18676298864466,,944.0,1298.0,,-0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,1.827956989247312,6.482795698924731,70.49462365591398,50.0,1.106666666666667,12.963333333333331,64.66666666666667,2.7728888888888887
