Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollStd_3,RollSum_3,is_summer,Month_sin,Month_cos,Jurisdiction_raw,REG_Alberta,REG_British Columbia,REG_Manitoba,REG_New Brunswick,REG_Newfoundland and Labrador,REG_Northwest Territories,REG_Nova Scotia,REG_Ontario,REG_Prince Edward Island,REG_Quebec,REG_Saskatchewan,REG_Yukon,temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,temperature_2m_max (°C)_lag1,relative_humidity_2m_min (%)_lag1,et0_fao_evapotranspiration (mm)_lag1,summer_temp,summer_dryness,summer_lag,pre_summer_heat,spring_dryness
1,1990,1,,,,,,,0,0.49999999999999994,0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2,1990,5,1,,,,,,0,0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-11.56989247311828,76.34408602150538,-6.860215053763441,64.79569892473118,0.2891397849462365,-0.0,0.0,0,,
3,1990,8,5,1,,,,,0,1.0,6.123233995736766e-17,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-13.560714285714283,71.39285714285714,-6.180952380952381,52.85714285714285,0.5329761904761905,-0.0,0.0,0,-6.860215053763441,0.2891397849462365
4,1990,26,8,5,1,4.666666666666667,3.511884584284246,14.0,0,0.8660254037844387,-0.4999999999999998,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-2.1763440860215053,67.83870967741936,5.023655913978495,42.82795698924731,1.4066666666666667,0.0,0.0,0,-13.041167434715822,0.822115975422427
5,1990,114,26,8,5,13.0,11.357816691600547,39.0,0,0.49999999999999994,-0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,2.7533333333333334,64.88888888888889,9.282222222222224,40.12222222222223,2.2212222222222224,0.0,0.0,0,-8.017511520737326,2.2287826420890937
6,1990,214,114,26,8,49.333333333333336,56.7215420570821,148.0,1,1.2246467991473532e-16,-1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,9.98279569892473,65.13978494623656,16.177419354838708,39.204301075268816,3.4306451612903226,16.177419354838708,0.08533030221984488,114,8.124925755248338,4.160865079365079
7,1990,446,214,114,26,118.0,94.06380813043877,354.0,1,-0.4999999999999997,-0.8660254037844388,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,14.965555555555556,67.8,20.538888888888888,42.34444444444444,3.8896666666666655,20.538888888888888,0.08973852858241474,214,30.483297491039426,7.058534050179212
8,1990,381,446,214,114,258.0,170.31735084835015,774.0,1,-0.8660254037844385,-0.5000000000000004,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,17.40967741935484,69.2258064516129,22.996774193548383,43.60215053763441,4.09,22.996774193548383,0.09169961427193828,446,45.99853046594982,9.54153405017921
9,1990,117,381,446,214,347.0,119.67873662434776,1041.0,0,-1.0,-1.8369701987210297e-16,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,17.098924731182798,67.20430107526882,23.031182795698925,42.94623655913978,3.51,0.0,0.0,0,59.71308243727598,11.410311827956988
10,1990,34,117,381,446,314.6666666666667,174.24216864276377,944.0,0,-0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,12.963333333333331,64.66666666666667,19.342222222222222,40.2,2.7728888888888887,0.0,0.0,0,66.56684587813619,11.489666666666665
11,1990,16,34,117,381,177.33333333333334,181.19694625830024,532.0,0,-0.5000000000000004,0.8660254037844384,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,1.827956989247312,70.49462365591398,6.482795698924731,50.0,1.106666666666667,0.0,0.0,0,65.37017921146953,10.372888888888887
12,1990,4,16,34,117,55.666666666666664,53.87330817142528,167.0,0,-2.4492935982947064e-16,1.0,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-7.914444444444444,72.2,-3.5166666666666666,58.94444444444444,0.4836666666666666,-0.0,0.0,0,48.856200716845876,7.389555555555555
1,1991,9,4,16,34,18.0,15.099668870542441,54.0,0,0.49999999999999994,0.8660254037844387,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-16.313978494623658,74.0,-10.48279569892473,62.70967741935484,0.2506451612903225,-0.0,0.0,0,22.308351254480286,4.363222222222222
2,1991,4,9,4,16,9.666666666666666,6.027713773344132,29.0,0,0.8660254037844386,0.5000000000000001,Alberta,1,0,0,0,0,0,0,0,0,0,0,0,-14.073118279569892,74.38709677419355,-8.796774193548387,61.655913978494624,0.3241935483870968,-0.0,0.0,0,-7.516666666666666,1.840978494623656
