latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.125,-122.125,684.0,0,GMT,GMT

time,temperature_2m_mean (°C),relative_humidity_2m_mean (%),et0_fao_evapotranspiration (mm)
2025-10-01,13.0,59,2.33
2025-10-02,11.1,63,1.98
2025-10-03,8.0,80,0.94
2025-10-04,9.2,74,1.46
2025-10-05,6.0,67,1.53
2025-10-06,10.2,67,1.72
2025-10-07,11.3,74,1.49
2025-10-08,6.3,70,1.00
2025-10-09,3.4,77,1.53
2025-10-10,5.2,78,1.46
2025-10-11,9.0,69,1.79
2025-10-12,3.0,59,1.52
2025-10-13,-0.7,55,1.57
2025-10-14,-0.3,63,1.34
2025-10-15,2.4,65,1.45
2025-10-16,4.8,76,1.02
2025-10-17,8.2,50,1.94
2025-10-18,2.7,73,0.62
2025-10-19,4.6,82,0.74
2025-10-20,3.5,86,0.87
2025-10-21,5.5,70,1.38
2025-10-22,8.0,63,1.64
2025-10-23,9.5,55,2.12
2025-10-24,11.0,52,2.49
2025-10-25,4.4,78,0.81
2025-10-26,5.5,74,1.03
2025-10-27,0.4,79,0.86
2025-10-28,-0.6,86,0.40
2025-10-29,5.8,72,1.32
2025-10-30,1.6,75,0.95
2025-10-31,6.8,58,1.65
2025-11-01,4.1,83,0.48
2025-11-02,1.3,79,0.95
2025-11-03,1.0,64,0.87
2025-11-04,-1.8,83,0.76
2025-11-05,5.3,65,1.20
2025-11-06,6.8,75,1.06
2025-11-07,6.4,68,1.04
2025-11-08,-0.7,76,0.49
2025-11-09,7.0,63,1.58
2025-11-10,8.5,68,0.82
2025-11-11,3.3,84,0.52
2025-11-12,2.3,86,0.52
2025-11-13,3.4,89,0.27
2025-11-14,-0.9,93,0.41
2025-11-15,-0.1,95,0.27
2025-11-16,3.5,92,0.32
2025-11-17,4.3,92,0.25
2025-11-18,1.7,91,0.32
2025-11-19,-1.7,88,0.40
2025-11-20,2.4,79,0.55
2025-11-21,4.7,72,0.57
2025-11-22,3.5,85,0.21
2025-11-23,1.2,95,0.33
2025-11-24,-1.9,93,0.23
2025-11-25,-2.3,90,0.22
2025-11-26,-1.0,90,0.30
2025-11-27,-1.6,92,0.21
2025-11-28,-1.8,82,0.31
2025-11-29,-5.1,85,0.20
2025-11-30,-6.7,88,0.21
2025-12-01,-3.0,92,0.13
2025-12-02,-0.6,89,0.29
2025-12-03,-1.9,93,0.17
2025-12-04,0.7,95,0.26
2025-12-05,-1.4,96,0.13
2025-12-06,-1.1,95,0.22
2025-12-07,-2.0,86,0.35
2025-12-08,0.8,82,0.36
2025-12-09,1.3,73,0.41
2025-12-10,0.9,87,0.19
2025-12-11,-1.4,92,0.14
2025-12-12,-7.3,89,0.11
2025-12-13,-7.3,88,0.19
2025-12-14,2.3,88,0.24
2025-12-15,5.5,78,0.51
2025-12-16,0.2,77,0.29
2025-12-17,1.2,73,0.52
2025-12-18,-0.4,66,0.57
2025-12-19,-5.2,73,0.36
2025-12-20,-12.6,81,0.16
2025-12-21,-10.0,86,0.17
2025-12-22,-12.3,79,0.15
2025-12-23,-7.0,76,0.32
2025-12-24,-9.5,85,0.11
2025-12-25,-16.1,87,0.13
2025-12-26,-12.9,83,0.16
2025-12-27,-18.7,68,0.20
2025-12-28,-14.0,74,0.18
2025-12-29,-4.7,84,0.17
2025-12-30,-2.2,83,0.22
2025-12-31,-0.7,87,0.23
