latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
49.82049,-119.588295,339.0,0,GMT,GMT

time,temperature_2m_mean (°C),relative_humidity_2m_mean (%),et0_fao_evapotranspiration (mm)
2025-10-01,16.9,40,0.00
2025-10-02,16.8,46,0.00
2025-10-03,12.7,54,0.00
2025-10-04,14.6,54,0.00
2025-10-05,10.9,53,0.00
2025-10-06,12.6,48,0.00
2025-10-07,12.8,54,0.00
2025-10-08,15.7,47,0.00
2025-10-09,13.0,62,0.00
2025-10-10,10.7,73,0.00
2025-10-11,11.2,69,0.00
2025-10-12,8.2,70,0.00
2025-10-13,8.2,46,0.00
2025-10-14,4.9,47,0.00
2025-10-15,4.1,54,0.00
2025-10-16,5.8,64,0.00
2025-10-17,10.1,58,0.00
2025-10-18,6.7,64,0.00
2025-10-19,8.8,75,0.00
2025-10-20,8.0,75,0.00
2025-10-21,9.7,63,0.00
2025-10-22,7.7,66,0.00
2025-10-23,8.9,62,0.00
2025-10-24,12.8,56,0.00
2025-10-25,7.6,77,0.00
2025-10-26,9.1,59,0.00
2025-10-27,7.1,63,0.00
2025-10-28,4.1,65,0.00
2025-10-29,7.5,74,0.00
2025-10-30,5.4,72,0.00
2025-10-31,4.1,78,0.00
2025-11-01,9.6,67,0.00
2025-11-02,8.3,52,0.00
2025-11-03,5.1,60,0.00
2025-11-04,2.5,74,0.00
2025-11-05,3.8,81,0.00
2025-11-06,8.5,76,0.00
2025-11-07,9.0,58,0.00
2025-11-08,4.4,66,0.00
2025-11-09,6.9,57,0.00
2025-11-10,10.4,55,0.00
2025-11-11,8.3,61,0.00
2025-11-12,5.5,81,0.00
2025-11-13,8.2,73,0.00
2025-11-14,7.8,76,0.00
2025-11-15,5.7,94,0.00
2025-11-16,6.6,87,0.00
2025-11-17,8.2,82,0.00
2025-11-18,7.3,82,0.00
2025-11-19,4.8,75,0.00
2025-11-20,5.0,71,0.00
2025-11-21,4.9,73,0.00
2025-11-22,7.0,72,0.00
2025-11-23,7.5,75,0.00
2025-11-24,5.4,73,0.00
2025-11-25,1.7,77,0.00
2025-11-26,3.6,81,0.00
2025-11-27,3.1,90,0.00
2025-11-28,1.8,88,0.00
2025-11-29,-1.3,85,0.00
2025-11-30,-0.9,82,0.00
2025-12-01,0.9,77,0.00
2025-12-02,1.9,90,0.00
2025-12-03,2.3,85,0.00
2025-12-04,2.7,82,0.00
2025-12-05,3.1,83,0.00
2025-12-06,4.4,84,0.00
2025-12-07,3.4,78,0.00
2025-12-08,5.9,75,0.00
2025-12-09,8.5,58,0.00
2025-12-10,6.6,77,0.00
2025-12-11,7.3,79,0.00
2025-12-12,5.0,85,0.00
2025-12-13,4.5,93,0.00
2025-12-14,5.3,82,0.00
2025-12-15,9.7,71,0.00
2025-12-16,7.4,57,0.00
2025-12-17,6.4,64,0.00
2025-12-18,4.0,61,0.00
2025-12-19,3.4,58,0.00
2025-12-20,2.6,60,0.00
2025-12-21,3.5,69,0.00
2025-12-22,3.1,70,0.00
2025-12-23,2.9,64,0.00
2025-12-24,1.0,86,0.00
2025-12-25,1.8,85,0.00
2025-12-26,2.6,83,0.00
2025-12-27,-3.2,48,0.00
2025-12-28,-7.5,52,0.00
2025-12-29,-3.3,60,0.00
2025-12-30,-2.6,68,0.00
2025-12-31,1.2,67,0.00
