latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.541298,-53.939392,48.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),precipitation_sum (mm),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_min (%)
1990-01-01,-3.9,6.9,88,4.80,191,0.20,12.0,34.8,18.3,81
1990-01-02,-1.4,7.1,74,4.10,244,0.68,8.0,34.9,29.5,57
1990-01-03,-6.9,-4.5,68,0.00,263,0.74,0.0,33.0,25.4,60
1990-01-04,-10.0,-6.9,73,0.00,268,0.45,0.0,22.2,15.2,58
1990-01-05,0.5,4.4,81,0.60,224,0.69,4.0,26.8,22.2,73
1990-01-06,-8.5,-3.1,73,0.00,250,0.45,0.0,23.3,13.5,58
1990-01-07,-9.4,-6.4,82,0.50,284,0.30,3.0,17.1,9.1,69
1990-01-08,-10.8,-2.1,78,0.50,205,0.33,3.0,17.1,11.6,72
1990-01-09,-7.6,-1.8,80,0.00,310,0.28,0.0,14.8,11.0,66
1990-01-10,-11.3,-5.7,78,0.40,246,0.31,3.0,14.4,10.4,55
1990-01-11,-0.9,2.6,90,14.10,158,0.30,16.0,26.4,17.5,84
1990-01-12,-2.3,-0.0,85,5.90,307,0.43,4.0,27.5,16.4,76
1990-01-13,-0.1,3.8,81,9.00,214,0.61,5.0,29.2,23.9,68
1990-01-14,-4.7,-2.6,83,0.50,249,0.35,3.0,13.9,9.2,65
1990-01-15,-8.2,-5.3,80,0.30,289,0.35,2.0,15.6,12.1,62
1990-01-16,-6.3,-1.9,85,1.30,196,0.26,8.0,10.9,8.1,80
1990-01-17,-7.2,-4.6,83,0.00,288,0.36,0.0,14.0,9.7,65
1990-01-18,-4.4,3.5,85,5.00,210,0.31,9.0,27.8,17.6,82
1990-01-19,0.7,3.3,84,1.10,250,0.49,5.0,26.3,17.6,67
1990-01-20,-14.5,-8.8,59,0.00,264,0.59,0.0,34.3,28.5,54
1990-01-21,-13.8,-12.1,72,0.70,272,0.40,3.0,23.2,14.5,58
1990-01-22,-15.1,-11.7,76,0.00,320,0.34,0.0,11.8,9.2,61
1990-01-23,-11.8,-5.8,80,0.00,51,0.32,0.0,10.0,6.6,68
1990-01-24,-6.9,-4.2,80,0.60,230,0.43,3.0,16.7,11.3,60
1990-01-25,-3.9,2.7,86,2.60,212,0.33,9.0,18.4,12.3,81
1990-01-26,-0.2,7.1,91,2.60,204,0.26,5.0,27.1,14.3,87
1990-01-27,6.6,9.3,92,8.00,220,0.35,11.0,41.2,30.6,84
1990-01-28,-4.9,-0.5,67,0.50,272,0.93,1.0,32.2,21.5,52
1990-01-29,-4.6,0.8,66,0.00,265,0.84,0.0,33.4,26.1,48
1990-01-30,-12.9,-11.1,67,0.70,306,0.42,3.0,24.6,13.2,60
1990-01-31,-8.9,-7.6,75,4.20,14,0.51,9.0,21.2,15.3,57
1990-02-01,-6.8,-3.3,74,0.00,249,0.62,0.0,16.6,12.9,62
1990-02-02,-3.0,2.1,76,1.80,247,0.81,8.0,31.9,24.3,61
1990-02-03,-21.2,-13.6,62,0.40,293,0.33,2.0,26.6,23.9,53
1990-02-04,-23.4,-20.6,66,0.00,297,0.26,0.0,21.6,16.6,56
1990-02-05,-21.0,-14.9,74,0.00,325,0.29,0.0,16.3,11.7,64
1990-02-06,-13.6,-8.4,70,0.00,293,0.56,0.0,17.7,12.8,42
1990-02-07,-9.6,-6.9,72,1.20,265,0.52,6.0,16.8,13.4,53
1990-02-08,-8.0,-2.2,77,0.40,251,0.64,3.0,18.2,14.1,67
1990-02-09,-9.5,-0.9,78,0.00,235,0.44,0.0,17.8,11.6,66
1990-02-10,2.1,4.6,78,4.40,237,0.98,5.0,32.8,21.9,52
1990-02-11,1.2,5.5,88,21.50,211,0.53,16.0,24.4,18.3,73
1990-02-12,-4.2,0.3,70,0.00,260,0.90,0.0,19.4,14.6,52
1990-02-13,-7.6,-5.8,82,0.60,326,0.51,4.0,17.9,12.0,64
1990-02-14,-5.0,1.6,80,0.30,213,0.58,2.0,27.2,18.0,66
1990-02-15,-13.0,-3.9,60,0.00,297,0.65,0.0,24.8,19.3,42
1990-02-16,-14.1,-8.6,62,0.00,255,0.53,0.0,16.8,12.4,47
1990-02-17,-14.3,-10.4,80,8.60,26,0.19,12.0,21.5,12.9,73
1990-02-18,-22.2,-18.8,63,0.30,302,0.37,2.0,24.5,18.5,45
1990-02-19,-18.7,-13.1,61,0.00,271,0.48,0.0,22.0,13.9,49
1990-02-20,-14.0,-12.8,79,5.40,37,0.31,16.0,20.9,14.3,69
1990-02-21,-14.5,-12.0,69,0.00,315,0.56,0.0,23.9,20.2,52
1990-02-22,-13.1,-2.0,74,1.00,234,0.51,5.0,23.6,15.0,56
1990-02-23,0.0,1.7,85,3.60,225,0.54,6.0,20.9,13.6,78
1990-02-24,-2.3,1.9,91,19.80,23,0.25,12.0,22.2,12.3,89
1990-02-25,-10.8,-7.2,71,6.50,336,0.76,5.0,23.8,11.1,44
1990-02-26,-14.5,-10.8,70,0.00,1,0.59,0.0,10.7,7.4,50
1990-02-27,-18.6,-13.9,65,0.00,274,0.52,0.0,12.2,9.3,44
1990-02-28,-9.5,-1.2,79,6.20,178,0.58,7.0,26.2,17.4,68
1990-03-01,-7.5,0.6,68,6.60,241,0.78,5.0,27.6,18.3,46
1990-03-02,-10.1,-0.8,71,0.00,209,0.78,0.0,27.6,18.5,62
1990-03-03,2.6,5.2,82,0.40,212,1.01,2.0,31.8,25.8,78
1990-03-04,0.5,2.9,96,34.30,347,0.25,19.0,16.7,8.8,88
1990-03-05,-6.1,-3.4,80,1.50,344,0.70,8.0,15.8,9.3,65
1990-03-06,-11.0,-6.7,67,0.20,274,0.86,1.0,17.1,12.2,44
1990-03-07,-13.8,-10.2,69,0.00,302,0.73,0.0,10.9,8.9,49
1990-03-08,-16.5,-13.9,72,0.00,347,0.54,0.0,18.8,13.2,50
1990-03-09,-16.2,-10.4,66,0.00,317,0.74,0.0,17.8,14.4,44
1990-03-10,-11.6,-3.7,60,0.00,265,1.11,0.0,13.3,7.7,37
1990-03-11,-3.5,3.2,78,0.10,223,1.19,1.0,21.1,16.5,64
1990-03-12,-0.4,0.6,82,1.80,293,0.84,6.0,20.1,13.6,63
1990-03-13,-5.8,-2.6,73,0.00,298,1.08,0.0,16.8,14.1,56
1990-03-14,-9.4,-6.4,73,0.00,318,0.75,0.0,22.1,17.1,57
1990-03-15,-10.3,-5.2,66,0.00,324,1.11,0.0,17.7,11.4,42
1990-03-16,-7.8,-0.9,67,0.00,252,1.11,0.0,10.4,8.0,50
1990-03-17,-3.5,0.4,88,2.20,186,0.43,7.0,17.1,9.6,81
1990-03-18,5.0,9.0,90,3.00,225,1.17,6.0,23.7,18.0,77
1990-03-19,4.2,6.9,75,0.00,243,1.73,0.0,30.3,26.4,55
1990-03-20,-1.1,3.4,64,0.00,263,1.84,0.0,25.4,18.0,46
1990-03-21,-1.6,0.5,87,12.30,144,0.36,13.0,17.4,9.5,76
1990-03-22,-1.5,5.4,75,7.60,278,1.10,5.0,35.7,22.5,51
1990-03-23,-4.4,2.0,74,0.00,189,1.29,0.0,32.6,18.9,57
1990-03-24,0.6,4.6,71,5.00,219,1.37,6.0,40.2,25.9,39
1990-03-25,-8.3,-2.9,59,0.00,247,1.36,0.0,16.0,11.4,41
1990-03-26,-5.2,-0.4,72,0.20,193,1.14,2.0,12.3,10.0,54
1990-03-27,-2.7,1.9,73,0.00,227,1.39,0.0,25.3,17.0,44
1990-03-28,-9.6,-5.2,59,0.00,297,1.28,0.0,13.7,9.7,38
1990-03-29,-8.7,-3.3,66,0.00,162,1.16,0.0,14.7,9.1,44
1990-03-30,-5.3,-0.4,68,0.00,259,1.33,0.0,11.6,8.1,37
1990-03-31,-5.5,2.2,63,0.00,230,1.88,0.0,11.4,9.2,36
1990-04-01,-3.6,2.3,74,0.00,161,1.72,0.0,10.6,8.4,51
1990-04-02,-0.6,6.1,86,0.00,99,1.60,0.0,9.7,7.1,70
1990-04-03,2.8,6.3,95,0.00,126,0.82,0.0,10.7,8.5,86
1990-04-04,4.8,9.5,95,0.00,164,1.20,0.0,11.6,10.0,80
1990-04-05,5.3,7.2,99,7.90,152,0.40,10.0,24.3,19.1,97
1990-04-06,6.5,12.3,79,0.20,217,2.51,1.0,21.7,16.0,42
1990-04-07,4.4,8.5,80,0.80,216,1.73,3.0,18.9,15.4,56
1990-04-08,4.3,7.6,78,7.70,213,1.60,12.0,37.2,26.1,41
1990-04-09,0.4,4.2,58,0.00,243,2.10,0.0,16.9,13.1,38
