latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.46397,-65.29141,131.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),precipitation_sum (mm),precipitation_hours (h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),relative_humidity_2m_min (%)
1990-01-01,4.1,6.8,21.30,23.0,204,0.16,26.3,20.1,97,81
1990-01-02,-5.2,0.3,0.00,0.0,286,0.78,27.7,22.6,69,62
1990-01-03,-1.0,1.1,0.00,0.0,282,0.74,22.7,17.4,76,67
1990-01-04,-0.9,4.5,0.00,0.0,199,0.57,17.7,12.0,86,75
1990-01-05,2.0,5.0,3.20,4.0,268,0.57,24.2,19.0,84,60
1990-01-06,-2.3,1.6,0.30,2.0,196,0.48,13.4,6.9,74,63
1990-01-07,-4.6,-1.0,0.00,0.0,299,0.59,19.9,12.9,71,51
1990-01-08,-0.3,3.1,0.40,2.0,240,0.64,16.0,11.2,80,63
1990-01-09,-0.3,2.1,0.40,3.0,60,0.67,12.7,7.9,81,69
1990-01-10,1.2,3.1,7.60,9.0,157,0.16,18.5,15.0,95,89
1990-01-11,-1.4,2.9,2.00,6.0,299,0.49,22.0,14.5,83,67
1990-01-12,-0.0,3.5,3.80,9.0,172,0.30,17.7,13.0,93,80
1990-01-13,-2.0,-0.9,0.00,0.0,269,0.53,15.5,10.6,84,67
1990-01-14,-8.7,-3.4,0.30,3.0,295,0.58,23.8,19.1,63,58
1990-01-15,-8.5,-3.4,0.00,0.0,262,0.55,14.8,9.9,68,57
1990-01-16,-1.4,0.7,1.90,7.0,230,0.50,16.7,12.3,87,72
1990-01-17,-3.2,1.9,0.00,0.0,263,0.50,14.6,9.3,86,75
1990-01-18,3.6,6.2,0.20,1.0,214,0.36,25.6,20.3,96,90
1990-01-19,-1.0,4.1,0.20,2.0,289,0.96,30.5,22.4,69,40
1990-01-20,-6.3,-0.9,0.00,0.0,269,1.03,26.7,15.3,53,42
1990-01-21,-4.7,-0.8,2.90,5.0,13,0.64,15.7,12.9,63,40
1990-01-22,-11.8,-7.3,3.40,11.0,69,0.52,16.5,11.4,72,62
1990-01-23,-2.4,1.6,2.80,10.0,175,0.60,16.8,13.6,88,70
1990-01-24,-2.3,2.6,2.70,7.0,179,0.39,22.4,13.7,86,79
1990-01-25,2.6,4.5,3.00,4.0,212,0.48,19.9,11.4,97,93
1990-01-26,7.3,12.1,7.80,9.0,180,0.19,32.7,23.0,100,99
1990-01-27,3.1,12.4,7.40,12.0,273,0.92,32.1,22.8,80,53
1990-01-28,1.1,6.6,0.00,0.0,221,0.97,24.2,15.8,79,62
