latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.166958,-61.542053,61.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),precipitation_sum (mm),precipitation_hours (h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),relative_humidity_2m_min (%)
1990-01-01,3.6,6.5,22.50,21.0,206,0.19,44.9,32.9,95,86
1990-01-02,-4.7,3.0,0.20,1.0,280,0.92,40.5,31.7,65,47
1990-01-03,-3.2,0.6,0.00,0.0,274,0.85,27.7,24.0,74,63
1990-01-04,-3.2,2.2,0.00,0.0,216,0.47,24.7,14.5,80,72
1990-01-05,1.8,4.3,2.40,3.0,258,0.60,38.3,27.4,84,67
1990-01-06,-4.6,-1.4,0.00,0.0,245,0.67,17.0,11.1,66,59
1990-01-07,-5.2,-1.3,1.60,5.0,299,0.48,28.3,16.9,74,56
1990-01-08,-1.1,2.6,1.20,7.0,227,0.63,22.9,16.4,79,63
1990-01-09,-3.0,-1.2,0.60,4.0,24,0.38,24.7,15.7,85,73
1990-01-10,-1.9,3.0,4.50,5.0,166,0.28,29.3,18.4,89,84
1990-01-11,-1.3,3.9,7.30,8.0,271,0.41,39.0,29.0,87,72
1990-01-12,-1.8,3.2,12.30,11.0,139,0.22,30.1,17.3,87,71
1990-01-13,-0.5,1.2,0.00,0.0,251,0.55,29.8,18.0,87,79
1990-01-14,-9.0,-3.9,0.00,0.0,294,0.46,26.3,19.8,75,56
1990-01-15,-11.2,-5.5,0.00,0.0,276,0.51,26.4,16.5,73,62
1990-01-16,-1.9,1.2,1.20,6.0,215,0.30,22.2,12.3,89,79
1990-01-17,-7.1,-3.0,0.00,0.0,298,0.51,21.8,12.9,84,68
1990-01-18,2.0,5.0,1.00,3.0,218,0.39,39.8,30.0,91,88
1990-01-19,-0.7,3.7,0.90,3.0,286,0.69,33.2,25.9,79,46
1990-01-20,-10.1,-4.3,0.00,0.0,281,0.97,36.6,25.5,52,41
1990-01-21,-7.2,-0.3,0.20,1.0,327,0.55,27.5,23.1,72,60
1990-01-22,-10.8,-6.4,2.00,9.0,29,0.53,22.7,18.1,72,66
1990-01-23,-2.6,0.2,2.40,15.0,138,0.37,19.8,14.4,86,75
1990-01-24,-2.9,0.4,0.70,1.0,224,0.41,24.5,14.5,87,81
1990-01-25,2.5,3.9,8.70,6.0,213,0.53,25.4,16.5,94,85
1990-01-26,4.4,8.6,10.80,21.0,192,0.16,41.1,25.0,99,99
1990-01-27,4.5,9.3,19.10,15.0,243,0.77,48.2,35.2,84,54
1990-01-28,-0.1,2.5,0.00,0.0,231,0.86,34.7,21.7,75,60
1990-01-29,-0.4,2.3,0.00,0.0,293,1.31,27.2,18.7,57,37
1990-01-30,-2.2,1.2,33.30,20.0,93,0.45,57.4,32.2,80,61
1990-01-31,-3.5,0.8,0.00,0.0,316,0.56,30.2,17.8,84,75
1990-02-01,-4.9,-0.3,0.00,0.0,244,0.61,29.3,15.4,84,78
1990-02-02,-0.5,3.8,0.00,0.0,271,0.84,38.2,30.6,78,65
1990-02-03,-16.5,-9.7,0.00,0.0,327,0.42,32.4,29.5,69,62
1990-02-04,-17.8,-13.2,0.90,4.0,316,0.39,22.6,16.0,71,57
1990-02-05,-15.6,-14.5,2.90,10.0,357,0.39,31.0,26.1,75,67
1990-02-06,-12.7,-1.1,1.60,6.0,267,0.42,31.4,20.7,79,67
1990-02-07,-5.3,-0.6,0.90,2.0,286,0.85,30.7,20.4,76,59
1990-02-08,-0.8,0.9,0.30,2.0,274,0.99,27.8,19.5,76,58
1990-02-09,0.7,4.6,0.00,0.0,219,0.77,41.3,26.0,87,81
1990-02-10,4.8,7.3,22.40,17.0,221,0.42,45.4,30.1,93,86
1990-02-11,3.3,6.8,6.80,11.0,239,0.75,44.6,24.4,85,54
1990-02-12,-2.6,-0.9,0.00,0.0,310,1.31,20.9,13.7,58,47
1990-02-13,-6.9,-2.1,0.00,0.0,315,1.17,22.9,17.5,62,45
1990-02-14,0.1,4.1,3.40,12.0,245,0.93,33.4,25.3,78,57
1990-02-15,-9.2,-5.9,0.00,0.0,333,1.00,31.4,18.9,54,40
1990-02-16,-5.2,-3.3,8.20,15.0,98,0.41,25.2,16.3,76,52
1990-02-17,-2.8,2.1,5.20,6.0,344,0.53,31.5,21.4,88,71
1990-02-18,-15.1,-12.1,0.00,0.0,311,0.62,33.4,27.5,65,48
1990-02-19,-4.9,2.8,0.70,3.0,247,0.66,28.5,19.7,79,64
1990-02-20,-7.1,-1.2,1.50,7.0,305,0.55,42.9,28.5,78,59
1990-02-21,-15.1,-10.6,0.00,0.0,309,0.67,35.5,26.0,64,49
1990-02-22,-2.4,3.8,0.00,0.0,228,1.09,35.4,21.0,76,61
1990-02-23,4.8,6.4,9.80,14.0,233,0.37,40.4,33.8,94,73
1990-02-24,-2.7,3.5,30.60,23.0,20,0.20,35.3,21.1,93,82
1990-02-25,-11.3,-9.3,0.70,2.0,349,0.67,32.7,21.6,74,60
1990-02-26,-14.8,-13.2,0.00,0.0,344,0.56,29.2,24.4,72,57
1990-02-27,-14.8,-7.7,0.00,0.0,261,0.72,26.7,14.4,69,56
1990-02-28,-2.1,1.8,4.30,14.0,215,0.82,30.3,22.6,82,71
1990-03-01,-11.2,-8.0,0.00,0.0,290,0.86,24.8,18.0,65,46
1990-03-02,-1.8,2.4,0.00,0.0,222,1.25,39.1,30.1,74,61
1990-03-03,2.6,4.2,2.00,7.0,220,0.93,40.8,24.2,89,81
1990-03-04,-2.1,0.9,9.10,13.0,0,0.41,22.7,18.7,89,77
1990-03-05,-7.1,-3.9,0.20,2.0,314,0.91,20.2,18.0,72,46
1990-03-06,-10.2,-6.4,0.00,0.0,316,1.02,18.4,10.6,66,40
1990-03-07,-13.6,-10.9,0.00,0.0,341,0.64,30.7,23.6,71,58
1990-03-08,-12.8,-8.3,0.00,0.0,333,0.84,28.5,22.6,67,51
1990-03-09,-6.9,-2.3,0.80,4.0,341,1.03,20.3,11.3,70,51
1990-03-10,-4.2,1.5,0.00,0.0,256,1.34,19.7,10.8,80,60
1990-03-11,1.0,3.1,1.10,4.0,230,0.85,27.5,22.9,85,79
1990-03-12,1.0,4.8,0.00,0.0,300,1.73,21.0,16.4,72,48
1990-03-13,-0.7,2.7,0.00,0.0,326,1.06,13.8,4.8,76,65
1990-03-14,-5.1,-2.7,0.00,0.0,349,1.39,21.0,18.4,64,48
1990-03-15,-4.3,-0.8,3.90,7.0,118,0.82,16.4,12.3,76,68
1990-03-16,-0.9,2.3,0.50,4.0,164,0.63,15.6,10.9,86,83
1990-03-17,3.0,7.3,0.10,1.0,215,0.60,26.3,14.9,98,93
1990-03-18,6.5,7.0,3.40,15.0,225,0.30,37.3,32.8,99,98
1990-03-19,3.9,6.9,2.40,3.0,253,1.89,26.6,23.1,78,47
1990-03-20,1.9,4.8,0.00,0.0,218,1.83,18.5,11.3,68,59
1990-03-21,1.9,4.6,26.90,17.0,100,0.54,38.2,23.6,92,77
1990-03-22,0.6,3.0,3.20,5.0,309,1.75,35.6,21.0,75,47
1990-03-23,3.4,7.4,0.00,0.0,188,1.53,45.8,33.0,84,73
1990-03-24,-0.5,6.1,6.10,8.0,278,2.00,44.3,25.1,58,28
1990-03-25,-1.7,0.6,0.00,0.0,173,1.58,19.0,10.9,56,41
1990-03-26,-0.2,2.0,0.00,0.0,192,1.22,23.8,16.0,82,69
1990-03-27,-3.5,0.8,0.00,0.0,299,1.62,31.3,21.9,61,40
1990-03-28,-6.1,-1.1,0.00,0.0,267,1.65,24.0,14.1,53,32
1990-03-29,-4.7,-2.3,1.20,3.0,302,1.63,31.2,25.8,55,35
1990-03-30,-4.6,0.9,0.00,0.0,274,2.12,19.7,11.7,50,30
1990-03-31,-1.4,0.2,2.40,7.0,144,0.95,26.8,18.2,76,67
1990-04-01,0.1,0.6,6.70,23.0,93,0.54,35.7,31.3,89,82
1990-04-02,1.4,2.5,2.80,10.0,106,0.59,31.0,26.7,92,82
1990-04-03,3.0,4.9,1.20,7.0,111,0.65,23.9,19.1,98,95
