latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.337433,-115.16666,1007.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),precipitation_sum (mm),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_min (%)
1990-01-01,-2.7,0.2,69,0.00,253,0.46,0.0,15.8,9.1,58
1990-01-02,-5.0,-2.6,87,1.20,355,0.21,10.0,12.3,7.7,66
1990-01-03,-8.1,-5.8,74,0.00,262,0.26,0.0,11.7,8.1,60
1990-01-04,-10.4,-6.7,83,0.90,154,0.16,5.0,13.6,8.5,76
1990-01-05,-10.1,1.6,81,0.10,183,0.29,1.0,11.8,8.7,65
1990-01-06,0.3,3.5,64,0.00,231,0.85,0.0,21.3,14.0,44
1990-01-07,-1.1,4.7,71,0.50,208,0.68,3.0,21.6,14.9,50
1990-01-08,-2.1,2.8,73,0.00,248,0.54,0.0,14.0,10.9,56
1990-01-09,-1.0,3.0,68,0.00,214,0.57,0.0,15.2,11.2,57
1990-01-10,-1.9,1.8,64,2.70,289,0.81,8.0,29.0,19.1,40
1990-01-11,-11.9,-5.1,69,0.00,272,0.42,0.0,23.4,10.0,47
1990-01-12,-6.9,2.0,64,0.00,172,0.54,0.0,15.3,9.9,54
1990-01-13,-4.0,2.3,85,0.00,245,0.33,0.0,7.1,5.0,79
1990-01-14,-1.8,2.1,90,1.20,280,0.33,5.0,13.0,8.3,83
1990-01-15,-6.1,-0.2,84,0.00,204,0.29,0.0,11.3,8.6,73
1990-01-16,-4.7,-2.5,84,1.80,327,0.27,9.0,15.1,12.1,70
1990-01-17,-11.7,-4.2,78,0.00,240,0.32,0.0,12.1,7.5,62
1990-01-18,-9.2,0.4,74,0.00,253,0.45,0.0,10.1,8.4,57
1990-01-19,-10.0,-1.8,79,0.00,217,0.33,0.0,10.9,7.4,61
1990-01-20,-3.8,3.8,68,0.00,253,0.62,0.0,14.0,9.8,48
1990-01-21,-1.1,2.6,72,0.00,284,0.60,0.0,13.4,8.9,55
1990-01-22,-1.3,3.3,80,0.70,178,0.51,4.0,18.8,9.8,59
1990-01-23,-3.9,1.2,76,1.10,293,0.51,5.0,16.1,10.0,44
1990-01-24,-6.1,-0.3,58,0.40,262,0.70,1.0,17.0,11.5,45
1990-01-25,-4.0,3.3,65,0.00,202,0.74,0.0,25.3,12.0,50
1990-01-26,-6.6,0.7,66,0.00,310,0.53,0.0,16.4,11.3,57
1990-01-27,-8.8,-3.5,59,0.00,194,0.57,0.0,16.5,8.8,46
1990-01-28,-8.7,-3.2,71,0.10,276,0.40,1.0,12.0,6.8,57
1990-01-29,-19.9,-6.3,75,4.10,355,0.24,12.0,21.4,13.1,59
1990-01-30,-27.8,-22.7,72,1.80,61,0.08,10.0,9.2,6.8,60
1990-01-31,-29.4,-26.7,69,0.00,61,0.12,0.0,10.5,4.9,54
1990-02-01,-28.4,-21.6,67,0.00,130,0.17,0.0,20.9,15.1,57
1990-02-02,-18.1,-1.0,71,0.00,166,0.33,0.0,10.5,6.1,50
1990-02-03,-2.2,5.4,62,0.00,168,0.94,0.0,12.1,9.8,47
1990-02-04,-3.2,2.4,78,0.00,258,0.66,0.0,15.9,9.4,38
1990-02-05,-6.5,2.7,64,0.00,189,0.88,0.0,22.4,12.2,43
1990-02-06,-6.3,0.1,65,0.00,244,0.68,0.0,19.6,10.5,46
1990-02-07,-8.0,-2.1,65,0.00,222,0.68,0.0,12.1,9.3,37
1990-02-08,-9.8,-4.5,65,0.00,281,0.60,0.0,18.6,11.2,33
1990-02-09,-11.6,-2.0,72,0.30,196,0.45,3.0,12.0,7.8,49
1990-02-10,-3.1,1.7,75,3.40,242,0.67,13.0,12.0,5.1,61
1990-02-11,-2.6,0.7,86,7.70,124,0.48,17.0,23.0,11.8,49
1990-02-12,-15.2,-1.9,68,0.00,330,0.47,0.0,26.3,16.6,47
1990-02-13,-23.9,-17.4,70,0.00,316,0.29,0.0,13.4,9.2,39
1990-02-14,-21.6,-8.5,63,0.00,208,0.46,0.0,11.9,7.5,30
1990-02-15,-17.6,-9.6,74,0.50,94,0.25,4.0,15.5,12.1,57
1990-02-16,-24.1,-19.1,71,1.40,48,0.18,13.0,12.5,8.8,55
1990-02-17,-26.8,-10.4,62,0.00,206,0.41,0.0,7.9,4.7,32
1990-02-18,-14.5,-2.5,67,0.00,247,0.70,0.0,10.7,7.1,46
1990-02-19,-5.7,5.0,68,0.00,216,0.92,0.0,11.0,8.8,43
1990-02-20,-1.3,5.3,63,0.00,230,1.21,0.0,23.6,14.3,43
1990-02-21,-2.3,5.4,65,0.00,279,1.16,0.0,20.2,12.7,43
1990-02-22,2.0,7.9,67,0.00,268,1.35,0.0,12.3,8.3,46
1990-02-23,-0.3,6.3,78,0.00,294,0.97,0.0,12.4,8.4,53
1990-02-24,-1.4,5.2,85,0.00,118,0.78,0.0,18.3,12.7,55
1990-02-25,0.2,3.7,72,0.50,276,1.13,3.0,21.7,11.8,40
1990-02-26,-2.9,2.6,65,0.00,294,1.38,0.0,22.0,12.1,43
1990-02-27,-4.3,8.7,68,0.00,205,1.34,0.0,10.4,8.3,30
1990-02-28,0.8,11.0,54,0.00,233,1.87,0.0,11.9,10.1,28
1990-03-01,-0.3,9.2,55,0.00,263,1.74,0.0,12.9,9.1,27
1990-03-02,-0.4,9.2,57,0.00,163,1.68,0.0,11.3,7.8,20
1990-03-03,-1.5,7.0,58,0.00,236,1.64,0.0,12.0,8.1,27
1990-03-04,-1.9,6.8,58,0.00,280,1.66,0.0,10.9,8.7,37
1990-03-05,-0.7,8.4,62,0.00,283,1.59,0.0,10.4,7.3,31
1990-03-06,0.3,8.2,62,0.00,185,1.37,0.0,11.0,8.7,42
1990-03-07,1.6,8.9,66,0.00,172,1.45,0.0,17.3,8.9,46
1990-03-08,1.0,6.9,78,2.50,200,0.88,6.0,18.9,14.8,57
1990-03-09,-4.4,3.2,52,0.90,259,1.55,2.0,17.7,10.4,37
1990-03-10,0.5,9.5,57,0.00,173,1.89,0.0,15.4,10.8,29
1990-03-11,-1.3,5.6,78,5.30,340,0.60,13.0,24.5,14.1,53
1990-03-12,-3.2,2.2,70,4.30,329,1.31,13.0,18.7,15.8,38
1990-03-13,-6.5,6.1,65,0.00,196,1.68,0.0,10.8,7.7,33
1990-03-14,-1.5,6.1,63,0.00,268,1.78,0.0,18.6,12.4,42
1990-03-15,0.2,6.7,60,0.00,298,1.97,0.0,17.9,13.8,32
1990-03-16,-0.7,5.1,63,0.00,306,1.46,0.0,13.0,9.2,45
1990-03-17,-0.0,4.3,81,2.20,312,1.35,7.0,13.3,10.4,46
1990-03-18,-0.7,10.4,62,0.00,159,2.05,0.0,13.1,8.8,38
1990-03-19,3.9,12.2,69,0.00,233,2.08,0.0,12.7,8.6,36
1990-03-20,0.8,9.4,86,3.70,28,0.72,13.0,11.2,8.2,56
1990-03-21,-5.3,-1.3,79,3.90,349,0.76,11.0,23.8,10.1,51
1990-03-22,-11.1,-5.8,51,0.00,326,1.19,0.0,22.7,17.3,33
1990-03-23,-12.1,-4.0,43,0.00,291,1.47,0.0,12.9,5.9,30
