latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
54.79789,-101.94058,338.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),precipitation_sum (mm),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_min (%)
1990-01-01,-14.3,-10.6,79,0.00,191,0.17,0.0,18.0,12.9,75
1990-01-02,-16.5,-10.8,78,0.00,340,0.13,0.0,17.1,9.9,71
1990-01-03,-19.6,-19.3,78,1.90,338,0.08,9.0,12.5,5.3,73
1990-01-04,-24.9,-21.4,75,0.00,288,0.09,0.0,13.3,11.3,68
1990-01-05,-27.5,-25.1,72,0.00,269,0.09,0.0,14.5,10.6,66
1990-01-06,-20.9,-10.5,78,3.70,184,0.13,8.0,16.8,11.1,74
1990-01-07,-18.0,-11.0,75,0.00,33,0.16,0.0,22.2,12.5,70
1990-01-08,-17.6,-16.2,77,0.00,87,0.13,0.0,16.7,9.7,69
1990-01-09,-15.0,-10.9,82,0.00,185,0.13,0.0,13.2,10.1,76
1990-01-10,-11.6,-10.9,86,1.00,72,0.12,6.0,13.7,11.0,79
1990-01-11,-11.2,-10.4,80,0.70,320,0.21,4.0,20.1,16.2,69
1990-01-12,-18.5,-14.2,77,0.00,271,0.15,0.0,18.2,11.3,73
1990-01-13,-18.0,-16.5,79,0.00,101,0.13,0.0,14.4,11.2,71
1990-01-14,-18.7,-15.6,79,0.00,66,0.09,0.0,9.4,5.1,71
1990-01-15,-16.7,-9.6,81,0.00,244,0.14,0.0,14.3,10.2,77
1990-01-16,-10.0,-9.0,83,0.00,295,0.15,0.0,13.8,9.2,76
1990-01-17,-12.4,-10.4,82,0.00,284,0.18,0.0,18.2,12.5,71
1990-01-18,-20.1,-14.1,76,0.00,349,0.12,0.0,17.4,8.0,70
1990-01-19,-20.2,-18.7,77,0.80,72,0.11,5.0,11.8,6.7,69
1990-01-20,-21.5,-17.0,77,1.10,123,0.12,7.0,17.8,12.5,75
1990-01-21,-11.9,-5.3,85,2.40,261,0.19,7.0,14.5,10.3,79
