latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.41652,-66.68851,593.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),precipitation_sum (mm),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_min (%)
1990-01-01,-1.4,1.4,93,13.30,223,0.22,18.0,29.5,18.2,75
1990-01-02,-13.9,-8.7,70,0.00,284,0.45,0.0,33.5,28.0,63
1990-01-03,-8.3,-6.1,79,0.00,283,0.45,0.0,26.0,21.5,59
1990-01-04,-5.6,0.1,84,0.50,205,0.33,2.0,16.8,12.6,78
1990-01-05,-6.3,0.8,77,3.80,276,0.42,7.0,25.0,20.9,59
1990-01-06,-14.8,-9.5,83,0.90,239,0.19,7.0,14.3,10.6,79
1990-01-07,-16.7,-10.4,78,1.30,280,0.19,6.0,17.6,12.6,60
1990-01-08,-9.7,-5.3,84,0.00,249,0.31,0.0,16.8,14.5,72
1990-01-09,-12.4,-7.5,83,0.00,127,0.28,0.0,14.6,7.2,70
1990-01-10,-3.8,0.0,92,6.00,175,0.24,20.0,15.0,10.4,87
1990-01-11,-11.1,-5.9,82,0.30,338,0.30,2.0,17.6,13.1,66
1990-01-12,-11.2,-8.8,84,6.40,93,0.21,15.0,17.5,12.8,79
1990-01-13,-11.2,-10.1,83,0.00,292,0.27,0.0,17.3,12.7,70
1990-01-14,-19.4,-14.2,74,0.00,296,0.25,0.0,21.7,19.6,60
1990-01-15,-21.5,-15.4,72,0.00,268,0.26,0.0,17.1,9.8,50
1990-01-16,-11.9,-9.6,84,2.50,264,0.32,10.0,13.5,10.8,67
1990-01-17,-12.8,-5.8,80,0.00,252,0.39,0.0,15.6,10.2,66
1990-01-18,1.5,3.5,94,10.50,230,0.26,16.0,25.5,21.1,90
1990-01-19,-11.6,-1.0,69,0.20,294,0.40,2.0,33.1,24.4,50
1990-01-20,-18.8,-12.1,72,1.00,268,0.29,6.0,24.7,17.1,61
1990-01-21,-19.3,-13.5,74,0.00,326,0.24,0.0,16.5,11.7,53
1990-01-22,-20.3,-16.4,73,1.00,102,0.22,5.0,15.7,10.5,60
1990-01-23,-11.9,-5.9,82,3.10,196,0.36,12.0,19.4,13.3,75
1990-01-24,-11.0,-4.4,86,4.80,186,0.22,8.0,16.9,10.8,76
1990-01-25,-1.1,1.1,88,0.50,231,0.59,4.0,20.7,15.0,73
1990-01-26,2.0,7.1,96,15.20,185,0.15,18.0,24.8,16.4,86
1990-01-27,-5.0,-1.0,79,3.70,286,0.57,6.0,33.0,23.0,60
1990-01-28,-4.7,0.8,77,0.00,226,0.68,0.0,29.2,19.1,65
1990-01-29,-8.3,-3.9,72,0.00,275,0.65,0.0,27.1,16.7,61
1990-01-30,-9.9,-7.9,86,28.60,67,0.17,20.0,31.2,20.4,82
1990-01-31,-11.8,-7.0,82,1.30,287,0.47,3.0,16.9,8.0,64
