latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
61.12478,-94.12048,6.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),precipitation_sum (mm),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_min (%)
1990-01-01,-28.5,-23.0,77,0.00,42,0.04,0.0,16.5,11.0,74
1990-01-02,-28.4,-23.0,75,0.00,326,0.06,0.0,18.4,16.5,72
1990-01-03,-33.4,-32.7,72,0.00,282,0.05,0.0,16.9,14.9,71
1990-01-04,-34.2,-32.6,71,0.00,298,0.05,0.0,23.5,20.4,69
1990-01-05,-35.0,-33.9,69,0.00,298,0.06,0.0,23.8,22.2,69
1990-01-06,-35.7,-33.8,71,0.00,302,0.04,0.0,21.1,13.9,70
1990-01-07,-39.2,-37.8,72,0.00,291,0.02,0.0,11.6,10.2,71
1990-01-08,-33.9,-25.2,75,0.00,190,0.03,0.0,18.4,9.4,70
1990-01-09,-21.4,-19.3,81,3.10,119,0.07,15.0,18.9,13.9,78
1990-01-10,-23.7,-21.3,79,0.00,31,0.08,0.0,21.8,18.3,78
1990-01-11,-27.4,-25.3,77,0.00,19,0.06,0.0,21.7,14.1,76
1990-01-12,-26.1,-23.0,76,0.00,286,0.08,0.0,24.9,17.2,75
1990-01-13,-27.9,-25.9,76,0.00,331,0.07,0.0,25.0,16.2,75
1990-01-14,-26.4,-22.5,76,0.00,186,0.05,0.0,15.2,8.7,74
1990-01-15,-22.0,-16.7,80,1.90,185,0.12,6.0,39.6,24.7,75
1990-01-16,-20.7,-13.5,75,0.10,301,0.19,1.0,50.7,38.1,72
1990-01-17,-27.7,-26.8,74,1.10,318,0.09,7.0,34.9,22.6,72
1990-01-18,-31.7,-29.8,70,0.00,327,0.09,0.0,41.7,37.0,69
1990-01-19,-35.2,-33.3,68,0.00,320,0.07,0.0,31.1,27.9,67
1990-01-20,-35.3,-34.4,71,0.00,320,0.05,0.0,28.7,17.0,69
1990-01-21,-25.4,-23.3,78,0.00,139,0.11,0.0,28.6,25.2,75
1990-01-22,-25.6,-23.4,76,0.00,315,0.06,0.0,20.0,12.1,74
1990-01-23,-34.2,-30.3,71,0.00,321,0.05,0.0,20.4,16.9,69
