latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.151142,-62.914032,0.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),precipitation_sum (mm),precipitation_hours (h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),relative_humidity_2m_min (%)
1990-01-01,3.4,7.2,11.50,17.0,196,0.31,33.6,26.5,92,79
1990-01-02,-6.6,1.9,0.00,0.0,275,0.73,40.5,34.3,70,64
1990-01-03,-4.3,-1.9,0.00,0.0,273,0.67,30.6,27.3,78,72
1990-01-04,-4.0,2.3,0.00,0.0,192,0.51,23.2,14.7,79,69
1990-01-05,0.3,4.2,2.20,4.0,263,0.58,34.4,27.4,84,74
1990-01-06,-7.5,-4.1,0.30,2.0,250,0.46,15.5,9.2,76,65
1990-01-07,-8.7,-4.4,2.90,7.0,311,0.31,25.1,14.1,79,64
1990-01-08,-4.0,-0.5,0.60,6.0,216,0.49,19.2,14.3,81,69
1990-01-09,-6.1,-4.1,0.00,0.0,45,0.26,19.1,12.1,87,81
1990-01-10,-2.1,1.9,6.30,10.0,160,0.36,23.6,19.1,88,83
1990-01-11,-3.7,1.9,13.00,14.0,336,0.26,41.6,26.7,89,78
1990-01-12,-4.2,1.4,4.90,11.0,118,0.27,28.0,16.3,87,79
1990-01-13,-3.9,0.3,0.00,0.0,266,0.35,28.3,16.3,89,84
1990-01-14,-10.8,-6.1,0.00,0.0,277,0.33,27.0,20.6,77,70
1990-01-15,-13.3,-9.6,0.00,0.0,251,0.37,19.6,11.9,75,59
1990-01-16,-5.4,-1.2,3.60,9.0,221,0.30,23.4,16.4,87,71
1990-01-17,-9.1,-4.9,0.00,0.0,243,0.32,13.8,8.9,87,80
1990-01-18,2.7,6.0,4.00,11.0,211,0.55,39.6,28.6,89,84
1990-01-19,-3.0,3.3,2.10,6.0,287,0.58,37.0,28.4,77,58
1990-01-20,-12.1,-6.5,0.00,0.0,271,0.66,35.1,22.1,62,56
1990-01-21,-10.7,-3.6,0.30,2.0,348,0.40,21.6,18.7,74,60
1990-01-22,-13.6,-11.0,0.70,4.0,46,0.38,18.5,13.5,72,69
1990-01-23,-6.0,-0.1,2.60,10.0,153,0.35,18.1,13.9,86,78
1990-01-24,-4.6,-0.5,1.20,3.0,193,0.39,21.0,12.6,86,76
1990-01-25,2.2,3.7,3.80,4.0,208,0.59,23.8,16.8,91,83
1990-01-26,6.2,11.6,5.90,8.0,178,0.38,40.8,26.4,95,91
1990-01-27,3.2,11.9,14.60,10.0,272,0.78,41.6,30.5,83,63
1990-01-28,-0.3,4.5,0.00,0.0,221,1.00,32.6,20.4,72,66
1990-01-29,-2.0,2.7,0.00,0.0,283,1.04,30.8,19.8,66,61
1990-01-30,-3.9,-1.8,35.40,15.0,78,0.41,49.7,29.8,81,71
1990-01-31,-5.9,-2.9,2.10,6.0,351,0.50,43.8,19.7,85,79
1990-02-01,-5.0,0.4,0.00,0.0,217,0.57,27.2,16.1,84,80
1990-02-02,-1.9,3.9,0.00,0.0,277,0.82,38.2,32.1,76,63
1990-02-03,-17.8,-10.8,0.00,0.0,323,0.42,28.9,25.4,64,61
