latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
49.876976,-74.34784,429.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),precipitation_sum (mm),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_min (%)
1990-01-01,-12.8,-8.1,81,4.70,300,0.20,15.0,25.4,17.1,69
1990-01-02,-15.9,-6.4,81,2.30,243,0.21,13.0,23.7,16.6,75
1990-01-03,-12.0,-6.0,78,0.90,283,0.26,5.0,20.6,13.0,68
1990-01-04,-4.2,-1.0,86,2.60,223,0.28,16.0,19.1,16.7,78
1990-01-05,-18.6,-9.0,75,0.00,276,0.20,0.0,20.1,14.2,64
1990-01-06,-21.8,-20.2,77,0.00,265,0.11,0.0,13.6,9.2,62
1990-01-07,-20.9,-13.0,78,1.90,180,0.15,11.0,16.7,12.1,76
1990-01-08,-15.7,-11.5,80,1.00,274,0.19,7.0,17.1,9.9,68
1990-01-09,-11.1,-5.6,83,5.40,141,0.23,16.0,18.4,13.8,76
1990-01-10,-13.5,-8.7,80,0.00,356,0.19,0.0,13.3,9.8,73
1990-01-11,-17.6,-14.2,78,0.10,109,0.18,1.0,19.2,12.5,67
1990-01-12,-12.2,-10.4,78,7.10,74,0.27,24.0,18.6,14.4,74
1990-01-13,-18.8,-11.7,73,0.10,310,0.21,1.0,19.6,16.6,60
1990-01-14,-25.9,-22.9,73,0.00,294,0.14,0.0,15.1,10.2,64
1990-01-15,-23.6,-17.2,72,2.00,152,0.15,9.0,14.6,11.9,66
1990-01-16,-14.2,-10.2,85,0.50,235,0.16,2.0,14.0,10.3,79
1990-01-17,-9.0,-5.7,89,4.60,185,0.17,7.0,15.3,11.6,85
1990-01-18,-6.9,-4.4,84,2.70,268,0.30,7.0,19.4,14.1,68
1990-01-19,-20.3,-11.8,67,0.00,283,0.26,0.0,21.8,18.4,56
1990-01-20,-20.2,-17.1,76,1.70,266,0.19,9.0,18.4,12.2,63
1990-01-21,-26.0,-22.7,70,0.00,50,0.15,0.0,14.8,9.3,56
1990-01-22,-21.3,-17.8,68,1.00,121,0.22,7.0,18.9,15.5,64
1990-01-23,-16.2,-13.7,79,0.00,214,0.24,0.0,11.7,9.4,66
1990-01-24,-14.4,-9.4,82,2.70,117,0.19,8.0,21.2,13.7,78
1990-01-25,-7.3,-5.0,86,1.50,205,0.27,6.0,17.0,11.2,79
1990-01-26,-2.3,1.4,84,10.50,200,0.48,17.0,27.9,21.4,74
1990-01-27,-11.4,-8.1,79,0.00,246,0.39,0.0,20.7,14.9,68
1990-01-28,-5.7,-0.7,72,4.90,223,0.70,15.0,38.3,27.3,61
1990-01-29,-13.7,-9.9,78,0.20,187,0.31,2.0,20.5,11.0,67
1990-01-30,-10.0,-6.4,82,0.00,136,0.40,0.0,20.0,15.5,70
1990-01-31,-10.1,-4.3,76,2.20,231,0.38,9.0,21.9,16.2,59
