Year,Month,Jurisdiction,Number_fires
1990,1.0,British Columbia,
1990,2.0,British Columbia,3.0
1990,3.0,British Columbia,35.0
1990,4.0,British Columbia,147.0
1990,5.0,British Columbia,235.0
1990,6.0,British Columbia,95.0
1990,7.0,British Columbia,775.0
1990,8.0,British Columbia,1563.0
1990,9.0,British Columbia,336.0
1990,10.0,British Columbia,60.0
1990,11.0,British Columbia,6.0
1990,12.0,British Columbia,
1990,,British Columbia,
1990,,British Columbia,
1991,1.0,British Columbia,2.0
1991,2.0,British Columbia,5.0
1991,3.0,British Columbia,25.0
1991,4.0,British Columbia,204.0
1991,5.0,British Columbia,193.0
1991,6.0,British Columbia,291.0
1991,7.0,British Columbia,296.0
1991,8.0,British Columbia,573.0
1991,9.0,British Columbia,172.0
1991,10.0,British Columbia,248.0
1991,11.0,British Columbia,5.0
1991,12.0,British Columbia,
1991,,British Columbia,
1991,,British Columbia,
1992,1.0,British Columbia,6.0
1992,2.0,British Columbia,2.0
1992,3.0,British Columbia,70.0
1992,4.0,British Columbia,155.0
1992,5.0,British Columbia,243.0
1992,6.0,British Columbia,705.0
1992,7.0,British Columbia,493.0
1992,8.0,British Columbia,1803.0
1992,9.0,British Columbia,197.0
1992,10.0,British Columbia,126.0
1992,11.0,British Columbia,4.0
1992,12.0,British Columbia,1.0
1992,,British Columbia,
1992,,British Columbia,
1993,1.0,British Columbia,3.0
1993,2.0,British Columbia,16.0
1993,3.0,British Columbia,34.0
1993,4.0,British Columbia,77.0
1993,5.0,British Columbia,322.0
1993,6.0,British Columbia,189.0
1993,7.0,British Columbia,153.0
1993,8.0,British Columbia,274.0
1993,9.0,British Columbia,300.0
1993,10.0,British Columbia,119.0
1993,11.0,British Columbia,10.0
1993,12.0,British Columbia,
1993,,British Columbia,
1993,,British Columbia,
1994,1.0,British Columbia,6.0
1994,2.0,British Columbia,2.0
1994,3.0,British Columbia,66.0
1994,4.0,British Columbia,142.0
1994,5.0,British Columbia,212.0
1994,6.0,British Columbia,172.0
1994,7.0,British Columbia,1030.0
1994,8.0,British Columbia,2118.0
1994,9.0,British Columbia,238.0
1994,10.0,British Columbia,70.0
1994,11.0,British Columbia,1.0
1994,12.0,British Columbia,
1994,,British Columbia,
1994,,British Columbia,
1995,1.0,British Columbia,5.0
1995,2.0,British Columbia,5.0
1995,3.0,British Columbia,61.0
1995,4.0,British Columbia,181.0
1995,5.0,British Columbia,316.0
1995,6.0,British Columbia,281.0
1995,7.0,British Columbia,277.0
1995,8.0,British Columbia,90.0
1995,9.0,British Columbia,238.0
1995,10.0,British Columbia,15.0
1995,11.0,British Columbia,5.0
1995,12.0,British Columbia,
1995,,British Columbia,
1995,,British Columbia,
1996,1.0,British Columbia,5.0
1996,2.0,British Columbia,3.0
1996,3.0,British Columbia,31.0
1996,4.0,British Columbia,60.0
1996,5.0,British Columbia,82.0
1996,6.0,British Columbia,155.0
1996,7.0,British Columbia,452.0
1996,8.0,British Columbia,489.0
1996,9.0,British Columbia,64.0
1996,10.0,British Columbia,16.0
1996,11.0,British Columbia,1.0
1996,12.0,British Columbia,2.0
1996,,British Columbia,
1996,,British Columbia,
1997,1.0,British Columbia,
1997,2.0,British Columbia,2.0
1997,3.0,British Columbia,6.0
1997,4.0,British Columbia,86.0
1997,5.0,British Columbia,131.0
1997,6.0,British Columbia,95.0
1997,7.0,British Columbia,172.0
1997,8.0,British Columbia,514.0
1997,9.0,British Columbia,162.0
1997,10.0,British Columbia,3.0
1997,11.0,British Columbia,3.0
1997,12.0,British Columbia,2.0
1997,,British Columbia,
1997,,British Columbia,
1998,1.0,British Columbia,3.0
1998,2.0,British Columbia,3.0
1998,3.0,British Columbia,24.0
1998,4.0,British Columbia,148.0
1998,5.0,British Columbia,259.0
1998,6.0,British Columbia,143.0
1998,7.0,British Columbia,674.0
1998,8.0,British Columbia,870.0
1998,9.0,British Columbia,473.0
1998,10.0,British Columbia,44.0
1998,11.0,British Columbia,4.0
1998,12.0,British Columbia,
1998,,British Columbia,18.0
1998,,British Columbia,
1999,1.0,British Columbia,
1999,2.0,British Columbia,2.0
1999,3.0,British Columbia,8.0
1999,4.0,British Columbia,92.0
1999,5.0,British Columbia,83.0
1999,6.0,British Columbia,118.0
1999,7.0,British Columbia,168.0
1999,8.0,British Columbia,522.0
1999,9.0,British Columbia,109.0
1999,10.0,British Columbia,82.0
1999,11.0,British Columbia,6.0
1999,12.0,British Columbia,8.0
1999,,British Columbia,
1999,,British Columbia,
2000,1.0,British Columbia,
2000,2.0,British Columbia,3.0
2000,3.0,British Columbia,17.0
2000,4.0,British Columbia,157.0
2000,5.0,British Columbia,82.0
2000,6.0,British Columbia,129.0
2000,7.0,British Columbia,399.0
2000,8.0,British Columbia,618.0
2000,9.0,British Columbia,86.0
2000,10.0,British Columbia,51.0
2000,11.0,British Columbia,8.0
2000,12.0,British Columbia,1.0
2000,,British Columbia,
2000,,British Columbia,
2001,1.0,British Columbia,6.0
2001,2.0,British Columbia,1.0
2001,3.0,British Columbia,30.0
2001,4.0,British Columbia,130.0
2001,5.0,British Columbia,257.0
2001,6.0,British Columbia,98.0
2001,7.0,British Columbia,329.0
2001,8.0,British Columbia,262.0
2001,9.0,British Columbia,135.0
2001,10.0,British Columbia,59.0
2001,11.0,British Columbia,13.0
2001,12.0,British Columbia,
2001,,British Columbia,
2001,,British Columbia,
2002,1.0,British Columbia,3.0
2002,2.0,British Columbia,3.0
2002,3.0,British Columbia,5.0
2002,4.0,British Columbia,140.0
2002,5.0,British Columbia,161.0
2002,6.0,British Columbia,245.0
2002,7.0,British Columbia,410.0
2002,8.0,British Columbia,596.0
2002,9.0,British Columbia,108.0
2002,10.0,British Columbia,86.0
2002,11.0,British Columbia,32.0
2002,12.0,British Columbia,6.0
2002,,British Columbia,
2002,,British Columbia,
2003,1.0,British Columbia,5.0
2003,2.0,British Columbia,3.0
2003,3.0,British Columbia,19.0
2003,4.0,British Columbia,99.0
2003,5.0,British Columbia,144.0
2003,6.0,British Columbia,272.0
2003,7.0,British Columbia,562.0
2003,8.0,British Columbia,1132.0
2003,9.0,British Columbia,198.0
2003,10.0,British Columbia,40.0
2003,11.0,British Columbia,16.0
2003,12.0,British Columbia,
2003,,British Columbia,
2003,,British Columbia,
2004,1.0,British Columbia,
2004,2.0,British Columbia,2.0
2004,3.0,British Columbia,43.0
2004,4.0,British Columbia,178.0
2004,5.0,British Columbia,132.0
2004,6.0,British Columbia,637.0
2004,7.0,British Columbia,630.0
2004,8.0,British Columbia,719.0
2004,9.0,British Columbia,38.0
2004,10.0,British Columbia,36.0
